source,target,value
Jeremy Tyler,Kyle Korver,1
Shelden Williams,Sundiata Gaines,1
Anthony Randolph,Nikola Pekovic,1
Byron Mullens,Hollis Thompson,1
Chris Paul,Jamal Crawford,2
Eric Bledsoe,Ishmael Smith,1
Jamaal Tinsley,Josh Howard,1
Joel Anthony,Kris Humphries,1
Austin Daye,Josh Selby,1
Ivan Johnson,Johan Petro,1
Stephen Jackson,Tony Parker,2
Danny Granger,Louis Amundson,1
Jared Cunningham,Mike James,1
Dion Waiters,Sergey Karasev,1
J.J. Redick,Maalik Wayns,1
Corey Maggette,Khris Middleton,1
Rasheed Wallace,Solomon Jones,1
Brian Cook,Solomon Jones,1
Beno Udrih,Jamaal Franklin,1
Metta World Peace,Raymond Felton,1
Ivan Johnson,Jeremy Tyler,1
Arron Afflalo,Wilson Chandler,1
DeSagana Diop,Matt Carroll,2
Josh Selby,Tony Allen,2
Darius Johnson-Odom,Hollis Thompson,1
Eric Dawson,Manu Ginobili,1
Alec Burks,Kevin Murphy,1
Cory Joseph,James Anderson,2
Arinze Onuaku,Eric Gordon,1
Byron Mullens,Ramon Sessions,1
Corey Brewer,Quincy Miller,1
Jerryd Bayless,Leandro Barbosa,1
Avery Bradley,Brandon Bass,3
Chris Johnson,Rajon Rondo,1
Chris Kaman,Shawn Marion,1
Kyle Singler,Peyton Siva,1
Elton Brand,Xavier Silas,1
Damian Lillard,Thomas Robinson,1
MarShon Brooks,Mirza Teletovic,1
Austin Daye,Jason Maxiell,2
Chris Singleton,Edwin Ubiles,1
Sebastian Telfair,Steve Nash,1
David Lee,Stephen Curry,3
Solomon Jones,Tobias Harris,1
Ryan Anderson,Terrel Harris,1
Bernard James,O.J. Mayo,1
Klay Thompson,Kwame Brown,1
Luis Scola,Sebastian Telfair,1
Al Horford,Zaza Pachulia,2
Lavoy Allen,Shelvin Mack,1
Aaron Brooks,DeMarcus Cousins,1
Jared Cunningham,John Salmons,1
Devin Harris,Jamaal Tinsley,1
Kyrie Irving,Spencer Hawes,1
Chris Douglas-Roberts,Michael Kidd-Gilchrist,1
Joe Johnson,Willie Green,1
Casper Ware,Hollis Thompson,1
Anderson Varejao,Matthew Dellavedova,1
Brian Scalabrine,C.J. Watson,1
Drew Gooden,Trevor Ariza,1
Dorell Wright,Nate Robinson,1
Chris Singleton,Jordan Crawford,2
Brandon Jennings,Kentavious Caldwell-Pope,1
Josh Davis,Quincy Pondexter,1
Hedo Turkoglu,Ryan Hollins,1
Andre Iguodala,Lavoy Allen,1
Cartier Martin,James Singleton,1
Jeremy Lamb,Thabo Sefolosha,2
Steve Novak,Tyler Hansbrough,1
Iman Shumpert,Ronnie Brewer,1
Carlos Boozer,Vladimir Radmanovic,1
DeMarre Carroll,James Nunnally,1
Alexey Shved,Derrick Williams,2
Anthony Davis,Hakim Warrick,1
Jimmy Butler,Mike James,2
James Harden,Thabo Sefolosha,1
C.J. Miles,Wayne Ellington,1
Eric Maynor,Sasha Pavlovic,1
Jeremy Tyler,Monta Ellis,1
Chris Wright,Khris Middleton,1
Earl Clark,Toure' Murry,1
Jared Cunningham,Josh Akognon,1
Austin Daye,Shannon Brown,1
Samardo Samuels,Semih Erden,1
Darryl Watkins,Eric Gordon,1
Carlos Boozer,John Lucas,1
Beno Udrih,Kenyon Martin,1
Earl Clark,J.J. Redick,1
Andrea Bargnani,Tim Hardaway,1
DeAndre Jordan,Sasha Vujacic,1
C.J. Watson,Kyle Korver,1
Eddy Curry,Josh Akognon,1
Donte Greene,Isaiah Thomas,1
Kevin Jones,Shaun Livingston,1
Carrick Felix,Sergey Karasev,1
Jamaal Franklin,Quincy Pondexter,1
Kevin Garnett,Leandro Barbosa,1
Hamed Haddadi,Sebastian Telfair,1
Andris Biedrins,Gordon Hayward,1
Ishmael Smith,Shavlik Randolph,1
Joel Przybilla,Mike Dunleavy,1
Gary Neal,Manu Ginobili,2
Andre Iguodala,Julyan Stone,1
LeBron James,Ronny Turiaf,1
Omer Asik,Robert Covington,1
Andrea Bargnani,Anthony Carter,1
MarShon Brooks,Pau Gasol,1
Ben McLemore,Quincy Acy,1
Aaron Brooks,Jan Vesely,1
DeMar DeRozan,Rasual Butler,1
Jordan Hamilton,Omer Asik,1
Orlando Johnson,Patrick Patterson,1
John Wall,Trevor Booker,3
Alan Anderson,Rudy Gay,1
Paul Pierce,Tyshawn Taylor,1
Jonas Valanciunas,Julyan Stone,1
D.J. Augustin,Eduardo Najera,1
Devin Ebanks,Troy Murphy,1
Andre Miller,Quincy Miller,2
Anthony Morrow,Louis Williams,1
Brian Roberts,Jason Smith,2
Greg Smith,James Anderson,1
Louis Amundson,Nazr Mohammed,1
Erik Murphy,Tornike Shengelia,1
D.J. Kennedy,Manny Harris,1
Jordan Farmar,Steve Blake,1
Darrell Arthur,Wilson Chandler,1
Antawn Jamison,J.J. Redick,1
David Lee,Monta Ellis,1
Lavoy Allen,Nick Young,1
Aaron Gray,Steve Novak,1
Festus Ezeli,Stephen Curry,1
Hasheem Thabeet,Joel Przybilla,1
Greivis Vasquez,Landry Fields,1
Jordan Hamilton,Patrick Beverley,1
Dominic McGuire,Ian Mahinmi,1
Joel Przybilla,Nolan Smith,1
Aaron Brooks,J.J. Hickson,1
Craig Brackins,Tony Battie,1
Meyers Leonard,Will Barton,2
Andre Emmett,Shelden Williams,1
Andre Iguodala,Klay Thompson,1
Dominique Jones,Josh Akognon,1
D.J. Stephens,Larry Sanders,1
Gustavo Ayon,Trevor Ariza,1
Michael Carter-Williams,Tony Wroten,1
Pablo Prigioni,Shannon Brown,1
Brian Scalabrine,Derrick Rose,1
DeSagana Diop,Josh McRoberts,1
Al Harrington,Ishmael Smith,1
Jon Leuer,Tayshaun Prince,2
Jeremy Pargo,Shelvin Mack,1
Josh Davis,Zach Randolph,1
Dominique Jones,Justin Dentmon,1
Darrell Arthur,Ty Lawson,1
Byron Mullens,Chris Paul,1
Ben Wallace,Vernon Macklin,1
Jermaine O'Neal,Sasha Pavlovic,1
Chris Quinn,Jon Leuer,1
Jordan Hill,Matt Barnes,1
Chandler Parsons,Marcus Morris,2
Jerryd Bayless,Quincy Pondexter,2
Ben Wallace,Walker Russell,1
Daniel Orton,Jameer Nelson,1
Andrew Bogut,Draymond Green,2
Dexter Pittman,Josh Selby,1
Kevin Martin,Luc Mbah a Moute,1
Allen Crabbe,Nicolas Batum,1
Casper Ware,Daniel Orton,1
Malcolm Thomas,Rudy Gobert,1
Anthony Davis,Arinze Onuaku,1
Andre Roberson,Thabo Sefolosha,1
Joakim Noah,Marquis Teague,2
Ben Hansbrough,Danny Granger,1
Kevin Durant,Lazar Hayward,1
Bobby Simmons,Caron Butler,1
Al Jefferson,DeMarre Carroll,2
Earl Clark,Robert Sacre,1
Luc Mbah a Moute,Monta Ellis,2
Kyrie Irving,Shane Edwards,1
Anthony Tolliver,Chris Douglas-Roberts,1
Damion James,Dennis Horner,1
Anderson Varejao,Arinze Onuaku,1
Kevin Durant,Ronnie Brewer,1
Caron Butler,Mo Williams,1
Jamaal Magloire,James Johnson,1
Chandler Parsons,Courtney Lee,1
Cody Zeller,Gerald Henderson,1
Hamady N'Diaye,Luc Mbah a Moute,1
Ben Gordon,Damien Wilkins,1
Austin Daye,Darrell Arthur,1
Donald Sloan,Ryan Hollins,1
Hassan Whiteside,Jimmer Fredette,1
Josh McRoberts,Ramon Sessions,3
Draymond Green,Jordan Crawford,1
Armon Johnson,J.J. Hickson,1
Amir Johnson,DeMar DeRozan,3
Andris Biedrins,Dominic McGuire,1
Daniel Orton,Kevin Martin,1
John Salmons,Patrick Patterson,3
Ben Wallace,Will Bynum,1
Charles Jenkins,Nick Young,1
Cole Aldrich,Tyson Chandler,1
Dirk Nowitzki,Monta Ellis,1
Jan Vesely,Kevin Seraphin,3
Jimmer Fredette,Luc Mbah a Moute,1
Jarvis Varnado,Shavlik Randolph,1
Jeff Ayres,Matt Bonner,1
D.J. White,Jarvis Varnado,1
Lance Thomas,Roger Mason,1
Baron Davis,Josh Harrellson,1
Glen Davis,Jared Dudley,1
Blake Griffin,Darius Morris,1
Anthony Morrow,Louis Amundson,1
Jared Dudley,Ryan Hollins,1
Perry Jones,Reggie Williams,1
DeJuan Blair,Matt Bonner,2
Darius Johnson-Odom,James Nunnally,1
Anthony Morrow,Eddy Curry,1
Matthew Dellavedova,Spencer Hawes,1
Malcolm Lee,Mickael Gelabale,1
Gary Neal,Kemba Walker,1
Jordan Crawford,Nene Hilario,2
Shawn Marion,Troy Murphy,1
Hakim Warrick,Marcin Gortat,1
Courtney Fortson,Greg Smith,1
Isaiah Thomas,Reggie Evans,1
Dexter Pittman,Dwyane Wade,2
Mustafa Shakur,Ryan Gomes,1
Enes Kanter,Rudy Gobert,1
Taj Gibson,Tornike Shengelia,1
Aaron Gray,Solomon Alabi,1
Alonzo Gee,Carrick Felix,1
DeJuan Blair,Malcolm Thomas,1
Keith Bogans,Shawne Williams,1
Devin Harris,Mike Scott,1
Anthony Tolliver,Nikola Pekovic,1
Jason Thompson,Orlando Johnson,1
Anthony Tolliver,D.J. White,1
Evan Fournier,Nate Robinson,1
Hamed Haddadi,Quincy Pondexter,2
DaJuan Summers,Ryan Hollins,1
Danny Green,Stephen Jackson,2
Blake Griffin,Grant Hill,1
Matt Bonner,Stephen Jackson,2
Byron Mullens,Henry Sims,1
Edwin Ubiles,Kevin Seraphin,1
Brandon Jennings,Carlos Delfino,1
Earl Barron,Trevor Ariza,1
Patrick Patterson,Reggie Evans,1
Quentin Richardson,Solomon Jones,1
Arinze Onuaku,C.J. Miles,1
Chandler Parsons,Kevin Martin,1
Jeremy Tyler,Raymond Felton,1
Nando De Colo,Tim Duncan,2
Jerome Dyson,Lance Thomas,1
Jared Dudley,Ronnie Price,1
Gordon Hayward,Ian Clark,1
DeMarre Carroll,Josh Howard,1
Rodrigue Beaubois,Shawn Marion,2
