Link,Game ID,Away Team,Away Long,Away Score,Home Team,Home Long,Home Score,OT Ind
http://www.basketball-reference.com/boxscores/200810280BOS.html,200810280BOS,CLE,Cleveland Cavaliers,85,BOS,Boston Celtics,90,RG
http://www.basketball-reference.com/boxscores/200810280CHI.html,200810280CHI,MIL,Milwaukee Bucks,95,CHI,Chicago Bulls,108,RG
http://www.basketball-reference.com/boxscores/200810280LAL.html,200810280LAL,POR,Portland Trail Blazers,76,LAL,Los Angeles Lakers,96,RG
http://www.basketball-reference.com/boxscores/200810290DET.html,200810290DET,IND,Indiana Pacers,94,DET,Detroit Pistons,100,RG
http://www.basketball-reference.com/boxscores/200810290GSW.html,200810290GSW,NOH,New Orleans Hornets,108,GSW,Golden State Warriors,103,RG
http://www.basketball-reference.com/boxscores/200810290HOU.html,200810290HOU,MEM,Memphis Grizzlies,71,HOU,Houston Rockets,82,RG
http://www.basketball-reference.com/boxscores/200810290LAC.html,200810290LAC,LAL,Los Angeles Lakers,117,LAC,Los Angeles Clippers,79,RG
http://www.basketball-reference.com/boxscores/200810290MIN.html,200810290MIN,SAC,Sacramento Kings,96,MIN,Minnesota Timberwolves,98,RG
http://www.basketball-reference.com/boxscores/200810290NYK.html,200810290NYK,MIA,Miami Heat,115,NYK,New York Knicks,120,RG
http://www.basketball-reference.com/boxscores/200810290OKC.html,200810290OKC,MIL,Milwaukee Bucks,98,OKC,Oklahoma City Thunder,87,RG
http://www.basketball-reference.com/boxscores/200810290ORL.html,200810290ORL,ATL,Atlanta Hawks,99,ORL,Orlando Magic,85,RG
http://www.basketball-reference.com/boxscores/200810290PHI.html,200810290PHI,TOR,Toronto Raptors,95,PHI,Philadelphia 76ers,84,RG
http://www.basketball-reference.com/boxscores/200810290SAS.html,200810290SAS,PHO,Phoenix Suns,103,SAS,San Antonio Spurs,98,RG
http://www.basketball-reference.com/boxscores/200810290UTA.html,200810290UTA,DEN,Denver Nuggets,94,UTA,Utah Jazz,98,RG
http://www.basketball-reference.com/boxscores/200810290WAS.html,200810290WAS,NJN,New Jersey Nets,95,WAS,Washington Wizards,85,RG
http://www.basketball-reference.com/boxscores/200810300CLE.html,200810300CLE,CHA,Charlotte Bobcats,79,CLE,Cleveland Cavaliers,96,RG
http://www.basketball-reference.com/boxscores/200810300DAL.html,200810300DAL,HOU,Houston Rockets,112,DAL,Dallas Mavericks,102,RG
http://www.basketball-reference.com/boxscores/200810300PHO.html,200810300PHO,NOH,New Orleans Hornets,108,PHO,Phoenix Suns,95,RG
http://www.basketball-reference.com/boxscores/200810310BOS.html,200810310BOS,CHI,Chicago Bulls,80,BOS,Boston Celtics,96,RG
http://www.basketball-reference.com/boxscores/200810310LAC.html,200810310LAC,DEN,Denver Nuggets,113,LAC,Los Angeles Clippers,103,OT
http://www.basketball-reference.com/boxscores/200810310MEM.html,200810310MEM,ORL,Orlando Magic,84,MEM,Memphis Grizzlies,86,RG
http://www.basketball-reference.com/boxscores/200810310MIA.html,200810310MIA,SAC,Sacramento Kings,77,MIA,Miami Heat,103,RG
http://www.basketball-reference.com/boxscores/200810310PHI.html,200810310PHI,NYK,New York Knicks,87,PHI,Philadelphia 76ers,116,RG
http://www.basketball-reference.com/boxscores/200810310POR.html,200810310POR,SAS,San Antonio Spurs,99,POR,Portland Trail Blazers,100,RG
http://www.basketball-reference.com/boxscores/200810310TOR.html,200810310TOR,GSW,Golden State Warriors,108,TOR,Toronto Raptors,112,OT
http://www.basketball-reference.com/boxscores/200811010ATL.html,200811010ATL,PHI,Philadelphia 76ers,88,ATL,Atlanta Hawks,95,RG
http://www.basketball-reference.com/boxscores/200811010CHA.html,200811010CHA,MIA,Miami Heat,87,CHA,Charlotte Bobcats,100,RG
http://www.basketball-reference.com/boxscores/200811010CHI.html,200811010CHI,MEM,Memphis Grizzlies,86,CHI,Chicago Bulls,96,RG
http://www.basketball-reference.com/boxscores/200811010DEN.html,200811010DEN,LAL,Los Angeles Lakers,104,DEN,Denver Nuggets,97,RG
http://www.basketball-reference.com/boxscores/200811010DET.html,200811010DET,WAS,Washington Wizards,109,DET,Detroit Pistons,117,RG
http://www.basketball-reference.com/boxscores/200811010HOU.html,200811010HOU,OKC,Oklahoma City Thunder,77,HOU,Houston Rockets,89,RG
http://www.basketball-reference.com/boxscores/200811010IND.html,200811010IND,BOS,Boston Celtics,79,IND,Indiana Pacers,95,RG
http://www.basketball-reference.com/boxscores/200811010MIL.html,200811010MIL,TOR,Toronto Raptors,91,MIL,Milwaukee Bucks,87,RG
http://www.basketball-reference.com/boxscores/200811010MIN.html,200811010MIN,DAL,Dallas Mavericks,95,MIN,Minnesota Timberwolves,85,RG
http://www.basketball-reference.com/boxscores/200811010NJN.html,200811010NJN,GSW,Golden State Warriors,105,NJN,New Jersey Nets,97,RG
http://www.basketball-reference.com/boxscores/200811010NOH.html,200811010NOH,CLE,Cleveland Cavaliers,92,NOH,New Orleans Hornets,104,RG
http://www.basketball-reference.com/boxscores/200811010ORL.html,200811010ORL,SAC,Sacramento Kings,103,ORL,Orlando Magic,121,RG
