Link,Game ID,Away Team,Away Long,Away Score,Home Team,Home Long,Home Score,OT Ind
http://www.basketball-reference.com/boxscores/201210300CLE.html,201210300CLE,WAS,Washington Wizards,84,CLE,Cleveland Cavaliers,94,RG
http://www.basketball-reference.com/boxscores/201210300LAL.html,201210300LAL,DAL,Dallas Mavericks,99,LAL,Los Angeles Lakers,91,RG
http://www.basketball-reference.com/boxscores/201210300MIA.html,201210300MIA,BOS,Boston Celtics,107,MIA,Miami Heat,120,RG
http://www.basketball-reference.com/boxscores/201210310CHI.html,201210310CHI,SAC,Sacramento Kings,87,CHI,Chicago Bulls,93,RG
http://www.basketball-reference.com/boxscores/201210310DET.html,201210310DET,HOU,Houston Rockets,105,DET,Detroit Pistons,96,RG
http://www.basketball-reference.com/boxscores/201210310LAC.html,201210310LAC,MEM,Memphis Grizzlies,92,LAC,Los Angeles Clippers,101,RG
http://www.basketball-reference.com/boxscores/201210310NOH.html,201210310NOH,SAS,San Antonio Spurs,99,NOH,New Orleans Hornets,95,RG
http://www.basketball-reference.com/boxscores/201210310PHI.html,201210310PHI,DEN,Denver Nuggets,75,PHI,Philadelphia 76ers,84,RG
http://www.basketball-reference.com/boxscores/201210310PHO.html,201210310PHO,GSW,Golden State Warriors,87,PHO,Phoenix Suns,85,RG
http://www.basketball-reference.com/boxscores/201210310POR.html,201210310POR,LAL,Los Angeles Lakers,106,POR,Portland Trail Blazers,116,RG
http://www.basketball-reference.com/boxscores/201210310TOR.html,201210310TOR,IND,Indiana Pacers,90,TOR,Toronto Raptors,88,RG
http://www.basketball-reference.com/boxscores/201210310UTA.html,201210310UTA,DAL,Dallas Mavericks,94,UTA,Utah Jazz,113,RG
http://www.basketball-reference.com/boxscores/201211010SAS.html,201211010SAS,OKC,Oklahoma City Thunder,84,SAS,San Antonio Spurs,86,RG
http://www.basketball-reference.com/boxscores/201211020ATL.html,201211020ATL,HOU,Houston Rockets,109,ATL,Atlanta Hawks,102,RG
http://www.basketball-reference.com/boxscores/201211020BOS.html,201211020BOS,MIL,Milwaukee Bucks,99,BOS,Boston Celtics,88,RG
http://www.basketball-reference.com/boxscores/201211020CHA.html,201211020CHA,IND,Indiana Pacers,89,CHA,Charlotte Bobcats,90,RG
http://www.basketball-reference.com/boxscores/201211020CLE.html,201211020CLE,CHI,Chicago Bulls,115,CLE,Cleveland Cavaliers,86,RG
http://www.basketball-reference.com/boxscores/201211020GSW.html,201211020GSW,MEM,Memphis Grizzlies,104,GSW,Golden State Warriors,94,RG
http://www.basketball-reference.com/boxscores/201211020LAL.html,201211020LAL,LAC,Los Angeles Clippers,105,LAL,Los Angeles Lakers,95,RG
http://www.basketball-reference.com/boxscores/201211020MIN.html,201211020MIN,SAC,Sacramento Kings,80,MIN,Minnesota Timberwolves,92,RG
http://www.basketball-reference.com/boxscores/201211020NOH.html,201211020NOH,UTA,Utah Jazz,86,NOH,New Orleans Hornets,88,RG
http://www.basketball-reference.com/boxscores/201211020NYK.html,201211020NYK,MIA,Miami Heat,84,NYK,New York Knicks,104,RG
http://www.basketball-reference.com/boxscores/201211020OKC.html,201211020OKC,POR,Portland Trail Blazers,92,OKC,Oklahoma City Thunder,106,RG
http://www.basketball-reference.com/boxscores/201211020ORL.html,201211020ORL,DEN,Denver Nuggets,89,ORL,Orlando Magic,102,RG
http://www.basketball-reference.com/boxscores/201211020PHO.html,201211020PHO,DET,Detroit Pistons,89,PHO,Phoenix Suns,92,RG
http://www.basketball-reference.com/boxscores/201211030BRK.html,201211030BRK,TOR,Toronto Raptors,100,BRK,Brooklyn Nets,107,RG
http://www.basketball-reference.com/boxscores/201211030CHI.html,201211030CHI,NOH,New Orleans Hornets,89,CHI,Chicago Bulls,82,RG
http://www.basketball-reference.com/boxscores/201211030DAL.html,201211030DAL,CHA,Charlotte Bobcats,99,DAL,Dallas Mavericks,126,RG
http://www.basketball-reference.com/boxscores/201211030HOU.html,201211030HOU,POR,Portland Trail Blazers,95,HOU,Houston Rockets,85,OT
http://www.basketball-reference.com/boxscores/201211030IND.html,201211030IND,SAC,Sacramento Kings,98,IND,Indiana Pacers,106,2OT
http://www.basketball-reference.com/boxscores/201211030LAC.html,201211030LAC,GSW,Golden State Warriors,114,LAC,Los Angeles Clippers,110,RG
http://www.basketball-reference.com/boxscores/201211030MIA.html,201211030MIA,DEN,Denver Nuggets,116,MIA,Miami Heat,119,RG
http://www.basketball-reference.com/boxscores/201211030MIL.html,201211030MIL,CLE,Cleveland Cavaliers,102,MIL,Milwaukee Bucks,105,RG
http://www.basketball-reference.com/boxscores/201211030SAS.html,201211030SAS,UTA,Utah Jazz,100,SAS,San Antonio Spurs,110,RG
http://www.basketball-reference.com/boxscores/201211030WAS.html,201211030WAS,BOS,Boston Celtics,89,WAS,Washington Wizards,86,RG
http://www.basketball-reference.com/boxscores/201211040LAL.html,201211040LAL,DET,Detroit Pistons,79,LAL,Los Angeles Lakers,108,RG
http://www.basketball-reference.com/boxscores/201211040NYK.html,201211040NYK,PHI,Philadelphia 76ers,84,NYK,New York Knicks,100,RG
http://www.basketball-reference.com/boxscores/201211040OKC.html,201211040OKC,ATL,Atlanta Hawks,104,OKC,Oklahoma City Thunder,95,RG
http://www.basketball-reference.com/boxscores/201211040ORL.html,201211040ORL,PHO,Phoenix Suns,94,ORL,Orlando Magic,115,RG
http://www.basketball-reference.com/boxscores/201211040TOR.html,201211040TOR,MIN,Minnesota Timberwolves,86,TOR,Toronto Raptors,105,RG
http://www.basketball-reference.com/boxscores/201211050BRK.html,201211050BRK,MIN,Minnesota Timberwolves,107,BRK,Brooklyn Nets,96,RG
http://www.basketball-reference.com/boxscores/201211050DAL.html,201211050DAL,POR,Portland Trail Blazers,91,DAL,Dallas Mavericks,114,RG
http://www.basketball-reference.com/boxscores/201211050LAC.html,201211050LAC,CLE,Cleveland Cavaliers,108,LAC,Los Angeles Clippers,101,RG
http://www.basketball-reference.com/boxscores/201211050MEM.html,201211050MEM,UTA,Utah Jazz,94,MEM,Memphis Grizzlies,103,RG
http://www.basketball-reference.com/boxscores/201211050MIA.html,201211050MIA,PHO,Phoenix Suns,99,MIA,Miami Heat,124,RG
http://www.basketball-reference.com/boxscores/201211050PHI.html,201211050PHI,NYK,New York Knicks,110,PHI,Philadelphia 76ers,88,RG
http://www.basketball-reference.com/boxscores/201211050SAC.html,201211050SAC,GSW,Golden State Warriors,92,SAC,Sacramento Kings,94,RG
http://www.basketball-reference.com/boxscores/201211050SAS.html,201211050SAS,IND,Indiana Pacers,79,SAS,San Antonio Spurs,101,RG
http://www.basketball-reference.com/boxscores/201211060CHI.html,201211060CHI,ORL,Orlando Magic,93,CHI,Chicago Bulls,99,RG
http://www.basketball-reference.com/boxscores/201211060DEN.html,201211060DEN,DET,Detroit Pistons,97,DEN,Denver Nuggets,109,RG
