Link,Game ID,Away Team,Away Long,Away Score,Home Team,Home Long,Home Score,OT Ind
http://www.basketball-reference.com/boxscores/200910270CLE.html,200910270CLE,BOS,Boston Celtics,95,CLE,Cleveland Cavaliers,89,RG
http://www.basketball-reference.com/boxscores/200910270DAL.html,200910270DAL,WAS,Washington Wizards,102,DAL,Dallas Mavericks,91,RG
http://www.basketball-reference.com/boxscores/200910270LAL.html,200910270LAL,LAC,Los Angeles Clippers,92,LAL,Los Angeles Lakers,99,RG
http://www.basketball-reference.com/boxscores/200910270POR.html,200910270POR,HOU,Houston Rockets,87,POR,Portland Trail Blazers,96,RG
http://www.basketball-reference.com/boxscores/200910280ATL.html,200910280ATL,IND,Indiana Pacers,109,ATL,Atlanta Hawks,120,RG
http://www.basketball-reference.com/boxscores/200910280BOS.html,200910280BOS,CHA,Charlotte Bobcats,59,BOS,Boston Celtics,92,RG
http://www.basketball-reference.com/boxscores/200910280DEN.html,200910280DEN,UTA,Utah Jazz,105,DEN,Denver Nuggets,114,RG
http://www.basketball-reference.com/boxscores/200910280GSW.html,200910280GSW,HOU,Houston Rockets,108,GSW,Golden State Warriors,107,RG
http://www.basketball-reference.com/boxscores/200910280LAC.html,200910280LAC,PHO,Phoenix Suns,109,LAC,Los Angeles Clippers,107,RG
http://www.basketball-reference.com/boxscores/200910280MEM.html,200910280MEM,DET,Detroit Pistons,96,MEM,Memphis Grizzlies,74,RG
http://www.basketball-reference.com/boxscores/200910280MIA.html,200910280MIA,NYK,New York Knicks,93,MIA,Miami Heat,115,RG
http://www.basketball-reference.com/boxscores/200910280MIN.html,200910280MIN,NJN,New Jersey Nets,93,MIN,Minnesota Timberwolves,95,RG
http://www.basketball-reference.com/boxscores/200910280OKC.html,200910280OKC,SAC,Sacramento Kings,89,OKC,Oklahoma City Thunder,102,RG
http://www.basketball-reference.com/boxscores/200910280ORL.html,200910280ORL,PHI,Philadelphia 76ers,106,ORL,Orlando Magic,120,RG
http://www.basketball-reference.com/boxscores/200910280SAS.html,200910280SAS,NOH,New Orleans Hornets,96,SAS,San Antonio Spurs,113,RG
http://www.basketball-reference.com/boxscores/200910280TOR.html,200910280TOR,CLE,Cleveland Cavaliers,91,TOR,Toronto Raptors,101,RG
http://www.basketball-reference.com/boxscores/200910290CHI.html,200910290CHI,SAS,San Antonio Spurs,85,CHI,Chicago Bulls,92,RG
http://www.basketball-reference.com/boxscores/200910290POR.html,200910290POR,DEN,Denver Nuggets,97,POR,Portland Trail Blazers,94,RG
http://www.basketball-reference.com/boxscores/200910300ATL.html,200910300ATL,WAS,Washington Wizards,89,ATL,Atlanta Hawks,100,RG
http://www.basketball-reference.com/boxscores/200910300BOS.html,200910300BOS,CHI,Chicago Bulls,90,BOS,Boston Celtics,118,RG
http://www.basketball-reference.com/boxscores/200910300CHA.html,200910300CHA,NYK,New York Knicks,100,CHA,Charlotte Bobcats,102,2OT
http://www.basketball-reference.com/boxscores/200910300DET.html,200910300DET,OKC,Oklahoma City Thunder,91,DET,Detroit Pistons,83,RG
http://www.basketball-reference.com/boxscores/200910300IND.html,200910300IND,MIA,Miami Heat,96,IND,Indiana Pacers,83,RG
http://www.basketball-reference.com/boxscores/200910300LAL.html,200910300LAL,DAL,Dallas Mavericks,94,LAL,Los Angeles Lakers,80,RG
http://www.basketball-reference.com/boxscores/200910300MEM.html,200910300MEM,TOR,Toronto Raptors,107,MEM,Memphis Grizzlies,115,RG
http://www.basketball-reference.com/boxscores/200910300MIN.html,200910300MIN,CLE,Cleveland Cavaliers,104,MIN,Minnesota Timberwolves,87,RG
http://www.basketball-reference.com/boxscores/200910300NJN.html,200910300NJN,ORL,Orlando Magic,95,NJN,New Jersey Nets,85,RG
http://www.basketball-reference.com/boxscores/200910300NOH.html,200910300NOH,SAC,Sacramento Kings,92,NOH,New Orleans Hornets,97,RG
http://www.basketball-reference.com/boxscores/200910300PHI.html,200910300PHI,MIL,Milwaukee Bucks,86,PHI,Philadelphia 76ers,99,RG
