Link,Game ID,Away Team,Away Long,Away Score,Home Team,Home Long,Home Score,OT Ind
http://www.basketball-reference.com/boxscores/201112250DAL.html,201112250DAL,MIA,Miami Heat,105,DAL,Dallas Mavericks,94,RG
http://www.basketball-reference.com/boxscores/201112250GSW.html,201112250GSW,LAC,Los Angeles Clippers,105,GSW,Golden State Warriors,86,RG
http://www.basketball-reference.com/boxscores/201112250LAL.html,201112250LAL,CHI,Chicago Bulls,88,LAL,Los Angeles Lakers,87,RG
http://www.basketball-reference.com/boxscores/201112250NYK.html,201112250NYK,BOS,Boston Celtics,104,NYK,New York Knicks,106,RG
http://www.basketball-reference.com/boxscores/201112250OKC.html,201112250OKC,ORL,Orlando Magic,89,OKC,Oklahoma City Thunder,97,RG
http://www.basketball-reference.com/boxscores/201112260CHA.html,201112260CHA,MIL,Milwaukee Bucks,95,CHA,Charlotte Bobcats,96,RG
http://www.basketball-reference.com/boxscores/201112260CLE.html,201112260CLE,TOR,Toronto Raptors,104,CLE,Cleveland Cavaliers,96,RG
http://www.basketball-reference.com/boxscores/201112260DAL.html,201112260DAL,DEN,Denver Nuggets,115,DAL,Dallas Mavericks,93,RG
http://www.basketball-reference.com/boxscores/201112260GSW.html,201112260GSW,CHI,Chicago Bulls,91,GSW,Golden State Warriors,99,RG
http://www.basketball-reference.com/boxscores/201112260IND.html,201112260IND,DET,Detroit Pistons,79,IND,Indiana Pacers,91,RG
http://www.basketball-reference.com/boxscores/201112260MIN.html,201112260MIN,OKC,Oklahoma City Thunder,104,MIN,Minnesota Timberwolves,100,RG
http://www.basketball-reference.com/boxscores/201112260ORL.html,201112260ORL,HOU,Houston Rockets,95,ORL,Orlando Magic,104,RG
http://www.basketball-reference.com/boxscores/201112260PHO.html,201112260PHO,NOH,New Orleans Hornets,85,PHO,Phoenix Suns,84,RG
http://www.basketball-reference.com/boxscores/201112260POR.html,201112260POR,PHI,Philadelphia 76ers,103,POR,Portland Trail Blazers,107,RG
http://www.basketball-reference.com/boxscores/201112260SAC.html,201112260SAC,LAL,Los Angeles Lakers,91,SAC,Sacramento Kings,100,RG
http://www.basketball-reference.com/boxscores/201112260SAS.html,201112260SAS,MEM,Memphis Grizzlies,82,SAS,San Antonio Spurs,95,RG
http://www.basketball-reference.com/boxscores/201112260WAS.html,201112260WAS,NJN,New Jersey Nets,90,WAS,Washington Wizards,84,RG
http://www.basketball-reference.com/boxscores/201112270LAL.html,201112270LAL,UTA,Utah Jazz,71,LAL,Los Angeles Lakers,96,RG
http://www.basketball-reference.com/boxscores/201112270MIA.html,201112270MIA,BOS,Boston Celtics,107,MIA,Miami Heat,115,RG
http://www.basketball-reference.com/boxscores/201112270MIL.html,201112270MIL,MIN,Minnesota Timberwolves,95,MIL,Milwaukee Bucks,98,RG
http://www.basketball-reference.com/boxscores/201112270NJN.html,201112270NJN,ATL,Atlanta Hawks,106,NJN,New Jersey Nets,70,RG
http://www.basketball-reference.com/boxscores/201112270POR.html,201112270POR,SAC,Sacramento Kings,79,POR,Portland Trail Blazers,101,RG
http://www.basketball-reference.com/boxscores/201112280ATL.html,201112280ATL,WAS,Washington Wizards,83,ATL,Atlanta Hawks,101,RG
http://www.basketball-reference.com/boxscores/201112280CHA.html,201112280CHA,MIA,Miami Heat,96,CHA,Charlotte Bobcats,95,RG
http://www.basketball-reference.com/boxscores/201112280DEN.html,201112280DEN,UTA,Utah Jazz,100,DEN,Denver Nuggets,117,RG
http://www.basketball-reference.com/boxscores/201112280DET.html,201112280DET,CLE,Cleveland Cavaliers,105,DET,Detroit Pistons,89,RG
http://www.basketball-reference.com/boxscores/201112280GSW.html,201112280GSW,NYK,New York Knicks,78,GSW,Golden State Warriors,92,RG
http://www.basketball-reference.com/boxscores/201112280MEM.html,201112280MEM,OKC,Oklahoma City Thunder,98,MEM,Memphis Grizzlies,95,RG
http://www.basketball-reference.com/boxscores/201112280NOH.html,201112280NOH,BOS,Boston Celtics,78,NOH,New Orleans Hornets,97,RG
http://www.basketball-reference.com/boxscores/201112280PHO.html,201112280PHO,PHI,Philadelphia 76ers,103,PHO,Phoenix Suns,83,RG
http://www.basketball-reference.com/boxscores/201112280SAS.html,201112280SAS,LAC,Los Angeles Clippers,90,SAS,San Antonio Spurs,115,RG
http://www.basketball-reference.com/boxscores/201112280TOR.html,201112280TOR,IND,Indiana Pacers,90,TOR,Toronto Raptors,85,RG
http://www.basketball-reference.com/boxscores/201112290HOU.html,201112290HOU,SAS,San Antonio Spurs,85,HOU,Houston Rockets,105,RG
http://www.basketball-reference.com/boxscores/201112290LAL.html,201112290LAL,NYK,New York Knicks,82,LAL,Los Angeles Lakers,99,RG
http://www.basketball-reference.com/boxscores/201112290OKC.html,201112290OKC,DAL,Dallas Mavericks,102,OKC,Oklahoma City Thunder,104,RG
http://www.basketball-reference.com/boxscores/201112290ORL.html,201112290ORL,NJN,New Jersey Nets,78,ORL,Orlando Magic,94,RG
http://www.basketball-reference.com/boxscores/201112290POR.html,201112290POR,DEN,Denver Nuggets,102,POR,Portland Trail Blazers,111,RG
http://www.basketball-reference.com/boxscores/201112290SAC.html,201112290SAC,CHI,Chicago Bulls,108,SAC,Sacramento Kings,98,RG
http://www.basketball-reference.com/boxscores/201112300ATL.html,201112300ATL,NJN,New Jersey Nets,98,ATL,Atlanta Hawks,105,RG
http://www.basketball-reference.com/boxscores/201112300BOS.html,201112300BOS,DET,Detroit Pistons,85,BOS,Boston Celtics,96,RG
http://www.basketball-reference.com/boxscores/201112300CHA.html,201112300CHA,ORL,Orlando Magic,100,CHA,Charlotte Bobcats,79,RG
http://www.basketball-reference.com/boxscores/201112300DAL.html,201112300DAL,TOR,Toronto Raptors,86,DAL,Dallas Mavericks,99,RG
http://www.basketball-reference.com/boxscores/201112300IND.html,201112300IND,CLE,Cleveland Cavaliers,91,IND,Indiana Pacers,98,OT
http://www.basketball-reference.com/boxscores/201112300LAC.html,201112300LAC,CHI,Chicago Bulls,114,LAC,Los Angeles Clippers,101,RG
http://www.basketball-reference.com/boxscores/201112300MEM.html,201112300MEM,HOU,Houston Rockets,93,MEM,Memphis Grizzlies,113,RG
http://www.basketball-reference.com/boxscores/201112300MIL.html,201112300MIL,WAS,Washington Wizards,81,MIL,Milwaukee Bucks,102,RG
http://www.basketball-reference.com/boxscores/201112300MIN.html,201112300MIN,MIA,Miami Heat,103,MIN,Minnesota Timberwolves,101,RG
http://www.basketball-reference.com/boxscores/201112300NOH.html,201112300NOH,PHO,Phoenix Suns,93,NOH,New Orleans Hornets,78,RG
http://www.basketball-reference.com/boxscores/201112300UTA.html,201112300UTA,PHI,Philadelphia 76ers,99,UTA,Utah Jazz,102,RG
http://www.basketball-reference.com/boxscores/201112310DET.html,201112310DET,IND,Indiana Pacers,88,DET,Detroit Pistons,96,RG
http://www.basketball-reference.com/boxscores/201112310GSW.html,201112310GSW,PHI,Philadelphia 76ers,107,GSW,Golden State Warriors,79,RG
http://www.basketball-reference.com/boxscores/201112310HOU.html,201112310HOU,ATL,Atlanta Hawks,84,HOU,Houston Rockets,95,RG
http://www.basketball-reference.com/boxscores/201112310LAL.html,201112310LAL,DEN,Denver Nuggets,89,LAL,Los Angeles Lakers,92,RG
http://www.basketball-reference.com/boxscores/201112310OKC.html,201112310OKC,PHO,Phoenix Suns,97,OKC,Oklahoma City Thunder,107,RG
http://www.basketball-reference.com/boxscores/201112310SAC.html,201112310SAC,NYK,New York Knicks,114,SAC,Sacramento Kings,92,RG
http://www.basketball-reference.com/boxscores/201112310SAS.html,201112310SAS,UTA,Utah Jazz,89,SAS,San Antonio Spurs,104,RG
http://www.basketball-reference.com/boxscores/201201010CHI.html,201201010CHI,MEM,Memphis Grizzlies,64,CHI,Chicago Bulls,104,RG
http://www.basketball-reference.com/boxscores/201201010CLE.html,201201010CLE,NJN,New Jersey Nets,82,CLE,Cleveland Cavaliers,98,RG
http://www.basketball-reference.com/boxscores/201201010DEN.html,201201010DEN,LAL,Los Angeles Lakers,90,DEN,Denver Nuggets,99,RG
http://www.basketball-reference.com/boxscores/201201010LAC.html,201201010LAC,POR,Portland Trail Blazers,88,LAC,Los Angeles Clippers,93,RG
http://www.basketball-reference.com/boxscores/201201010MIA.html,201201010MIA,CHA,Charlotte Bobcats,90,MIA,Miami Heat,129,RG
