David West,"$12,000,000"
Wayne Ellington,"$2,771,340"
Tim Duncan,"$10,000,000"
Pablo Prigioni,"$1,662,961"
Matt Barnes,"$3,396,250"
George Hill,"$8,000,000"
Joakim Noah,"$12,200,000"
Rajon Rondo,"$12,909,091"
Fab Melo,"$437,080"
Randy Foye,"$3,000,000"
Chuck Hayes,"$5,958,750"
Gary Neal,"$3,250,000"
LaMarcus Aldridge,"$1,525,600"
Michael Beasley,"$777,778"
Landry Fields,"$6,250,000"
Carlos Boozer,"$16,800,000"
Raymond Felton,"$3,793,693"
Kenneth Faried,"$2,249,768"
John Wall,"$13,701,250"
Marcus Camby,"$646,609"
Solomon Hill,"$1,302,840"
Chris Paul,"$20,068,563"
Joel Anthony,"$3,800,000"
Joel Freeland,"$3,013,512"
Kevin Love,"$15,719,062"
Iman Shumpert,"$2,616,975"
Steve Nash,"$9,701,000"
Louis Williams,"$5,450,000"
Ryan Anderson,"$8,491,500"
Tyreke Evans,"$11,265,416"
Ray McCallum,"$816,482"
Al Harrington,"$3,804,900"
Reggie Bullock,"$1,200,720"
Kendrick Perkins,"$9,654,342"
Brandon Knight,"$3,553,917"
Serge Ibaka,"$12,350,000"
Tyson Chandler,"$14,596,888"
Carmelo Anthony,"$23,410,988"
B.J. Mullens,"$1,063,384"
Marcus Thornton,"$8,575,000"
Demar DeRozan,"$9,500,000"
Alan Anderson,"$1,063,384"
Paul Millsap,"$9,500,000"
Jeff Teague,"$8,000,000"
Tiago Splitter,"$9,250,000"
Jamaal Franklin,"$816,482"
Mirza Teletovic,"$3,368,100"
Joe Johnson,"$23,180,790"
Kyle Korver,"$6,253,521"
Carl Landry,"$6,500,000"
Victor Claver,"$1,370,000"
Monta Ellis,"$8,360,000"
Carlos Delfino,"$3,250,000"
DeMarcus Cousins,"$13,701,250"
Brandon Bass,"$6,900,000"
Michael Carter-Williams,"$2,300,040"
Nick Collison,"$2,242,003"
Eric Maynor,"$2,106,720"
Udonis Haslem,"$4,620,000"
Jason Thompson,"$6,037,500"
Wilson Chandler,"$6,757,913"
