Ron Artest,"$1,590,000"
Thomas Robinson,"$3,526,440"
Rudy Gobert,"$1,078,800"
David Lee,"$13,878,000"
Giannis Antetokounmpo,"$1,792,560"
Antawn Jamison,"$1,399,507"
Nate Wolters,"$500,000"
Kenneth Faried,"$1,367,640"
Shaun Livingston,"$1,272,279"
Vince Carter,"$3,180,000"
Bradley Beal,"$4,319,280"
J.J. Hickson,"$5,150,000"
Kris Humphries,"$12,000,000"
Jared Cunningham,"$1,208,400"
Doron Lamb,"$788,872"
Rasual Butler,"$884,293"
C.J. McCollum,"$2,316,720"
Chris Singleton,"$1,618,680"
Nick Young,"$1,106,942"
Nikola Pekovic,"$12,100,000"
Diante Garrett,"$719,266"
Tim Hardaway,"$1,196,760"
Kosta Koufos,"$3,000,000"
Toney Douglas,"$1,600,000"
Cole Aldrich,"$884,293"
Nick Calathes,"$490,180"
Anderson Varejao,"$9,036,364"
Norris Cole,"$1,129,200"
Tyler Hansbrough,"$3,183,000"
Malcolm Lee,"$884,293"
Brook Lopez,"$14,693,906"
Marvin Williams,"$7,500,000"
Julyan Stone,"$884,293"
Emeka Okafor,"$14,487,500"
Jameer Nelson,"$8,600,000"
Bismack Biyombo,"$3,049,920"
Nazr Mohammed,"$1,399,507"
Deron Williams,"$18,466,130"
Steve Blake,"$4,000,000"
Patrick Beverley,"$788,872"
Udonis Haslem,"$4,340,000"
Vitor Faverani,"$2,000,000"
Keith Bogans,"$5,058,198"
Amare Stoudemire,"$21,679,893"
Martell Webster,"$5,150,000"
Anthony Tolliver,"$884,293"
Kendall Marshall,"$2,553,130"
John Salmons,"$7,583,000"
Archie Goodwin,"$1,064,400"
Taj Gibson,"$7,550,000"
Anthony Davis,"$5,375,760"
Greg Stiemsma,"$2,676,000"
Dewayne Dedmon,"$100,000"
Daniel Orton,"$393,384"
Lorenzo Brown,"$426,745"
Hamady N'Diaye,"$374,524"
Tornike Shengelia,"$788,872"
Kevin Seraphin,"$2,761,114"
John Wall,"$7,459,925"
Marcus Camby,"$3,607,347"
Solomon Hill,"$1,246,680"
Robin Lopez,"$5,119,761"
Joel Anthony,"$3,800,000"
Jeff Withey,"$490,180"
Kwame Brown,"$2,945,901"
Steve Nash,"$9,300,500"
Louis Williams,"$5,225,000"
Solomon Jones,"$488,542"
Al Harrington,"$4,458,593"
Lance Thomas,"$88,429"
Brandon Knight,"$2,793,960"
Carmelo Anthony,"$21,679,893"
Perry Jones,"$1,082,520"
Hollis Thompson,"$490,180"
Gerald Wallace,"$10,105,855"
Jae Crowder,"$788,872"
Marquis Teague,"$1,074,720"
Chuck Hayes,"$5,722,500"
Arnett Moultrie,"$1,089,240"
Jeremy Lamb,"$2,111,160"
Trey Burke,"$2,438,760"
Orlando Johnson,"$788,872"
Thabo Sefolosha,"$3,900,000"
Kyle Korver,"$6,760,563"
Brandon Bass,"$6,450,000"
Nick Collison,"$2,585,668"
Eric Maynor,"$2,016,000"
Trent Lockett,"$35,000"
Wilson Chandler,"$6,344,164"
Derek Fisher,"$1,399,507"
Jose Calderon,"$6,791,570"
Josh McRoberts,"$2,652,000"
Timofey Mozgov,"$4,400,000"
Demar DeRozan,"$9,500,000"
Robert Covington,"$490,180"
Garrett Temple,"$916,099"
Ekpe Udoh,"$4,469,548"
Brandon Davies,"$540,180"
Ricky Ledo,"$544,000"
Kyle Singler,"$1,045,000"
Jeremy Tyler,"$100,000"
Larry Sanders,"$3,053,368"
Anthony Morrow,"$1,027,424"
Greivis Vasquez,"$2,150,188"
C.J. Watson,"$2,016,000"
Ramon Sessions,"$5,000,000"
Quincy Acy,"$788,872"
Ricky Rubio,"$4,002,120"
,
Rudy Gay,"$17,888,932"
Nemanja Nedovic,"$1,056,720"
Carrick Felix,"$510,000"
Josh Childress,"$237,292"
Ognjen Kuzmic,"$490,180"
Pero Antic,"$1,200,000"
Boris Diaw,"$4,702,500"
Allen Crabbe,"$825,000"
Brandon Jennings,"$7,655,503"
Royce White,"$1,719,480"
Dwyane Wade,"$18,673,000"
Klay Thompson,"$2,317,920"
Will Bynum,"$2,790,343"
Patrick Patterson,"$3,105,301"
Isaiah Canaan,"$570,515"
Gordon Hayward,"$3,452,183"
Marco Belinelli,"$2,750,000"
Quincy Pondexter,"$2,225,479"
Shawn Marion,"$9,066,796"
DeMarre Carroll,"$2,557,545"
Mike Dunleavy,"$3,183,000"
Jimmer Fredette,"$2,439,840"
Slava Kravtsov,"$1,500,000"
Chris Bosh,"$19,067,500"
Hedo Turkoglu,"$6,473,357"
Jonas Valanciunas,"$3,526,440"
Rashard Lewis,"$1,399,507"
Travis Outlaw,"$3,000,000"
Robert Sacre,"$788,873"
Jeff Taylor,"$788,872"
Jason Maxiell,"$2,500,000"
Hilton Armstrong,"$132,961"
Gani Lawal,"$100,000"
Seth Curry,"$118,251"
Blake Griffin,"$13,668,750"
Brandan Wright,"$5,000,000"
Steve Novak,"$3,750,001"
Omer Asik,"$8,374,646"
Adonis Thomas,"$50,000"
Aaron Gray,"$2,690,875"
Henry Sims,"$788,872"
Ray Allen,"$3,229,050"
Dante Cunningham,"$2,180,000"
Tristan Thompson,"$4,062,000"
Nando De Colo,"$1,463,000"
Ronny Turiaf,"$1,500,000"
Michael Beasley,"$5,694,091"
Victor Claver,"$1,330,000"
Marreese Speights,"$3,500,000"
Maalik Wayns,"$46,404"
Chase Budinger,"$5,000,000"
Alexey Shved,"$3,066,667"
Tobias Harris,"$1,545,840"
J.R. Smith,"$5,565,000"
Eric Gordon,"$14,283,844"
Anthony Bennett,"$5,324,280"
Matt Bonner,"$3,945,000"
Ian Mahinmi,"$4,000,000"
Danny Green,"$3,762,500"
J.J. Redick,"$6,500,000"
Russell Westbrook,"$14,693,906"
Dirk Nowitzki,"$20,907,128"
Ben McLemore,"$2,895,960"
Glen Davis,"$6,400,000"
Tim Duncan,"$10,361,446"
Wayne Ellington,"$2,652,000"
Mason Plumlee,"$1,298,640"
Matt Barnes,"$3,250,000"
Earl Watson,"$1,399,507"
Elliot Williams,"$797,545"
Gustavo Ayon,"$1,500,000"
Landry Fields,"$6,250,000"
Marshon Brooks,"$1,210,000"
Tyshawn Taylor,"$788,872"
Joel Freeland,"$2,451,976"
Iman Shumpert,"$1,703,760"
Andrew Nicholson,"$1,482,000"
Xavier Henry,"$916,099"
Harrison Barnes,"$2,923,920"
Ryan Anderson,"$8,308,500"
Ray McCallum,"$524,616"
Cartier Martin,"$546,188"
Serge Ibaka,"$12,350,000"
Tyson Chandler,"$14,100,537"
Jerryd Bayless,"$3,135,000"
Richard Jefferson,"$11,046,000"
Arinze Onuaku,"$49,018"
Ryan Kelly,"$490,180"
Nate Robinson,"$2,016,000"
Carl Landry,"$6,500,000"
C.J. Miles,"$2,225,000"
Jeff Pendergraph,"$1,750,000"
Fab Melo,"$437,080"
Jason Thompson,"$5,643,750"
Tony Snell,"$1,409,040"
Dion Waiters,"$3,894,240"
Andris Biedrins,"$9,000,000"
Andre Miller,"$5,000,000"
Royal Ivey,"$52,017"
Louis Amundson,"$362,917"
Darius Miller,"$788,872"
Tayshaun Prince,"$7,235,955"
Jeremy Evans,"$1,660,257"
Erik Murphy,"$490,180"
Terrence Ross,"$2,678,640"
Gerald Henderson,"$6,000,000"
Francisco Garcia,"$1,265,977"
Andre Drummond,"$2,462,400"
Nicolas Batum,"$11,295,250"
Andrea Bargnani,"$10,750,000"
James Anderson,"$916,099"
Arron Afflalo,"$7,562,500"
Andray Blatche,"$1,375,604"
Cody Zeller,"$3,857,040"
Marcus Morris,"$1,987,320"
Derrick Rose,"$17,632,688"
Brendan Haywood,"$2,050,000"
Stephen Jackson,"$255,204"
Ronnie Price,"$1,265,977"
Luis Scola,"$4,508,504"
Lavoy Allen,"$3,060,000"
Marcin Gortat,"$7,727,280"
Kawhi Leonard,"$1,887,840"
Anthony Randolph,"$1,750,000"
Roger Mason Jr,"$884,293"
Luc Richard Mbah A Moute,"$4,588,384"
Al Jefferson,"$13,500,000"
Channing Frye,"$6,400,000"
Devin Harris,"$1,272,279"
Shane Larkin,"$1,536,960"
Ben Gordon,"$13,200,000"
Otto Porter,"$4,278,000"
Darren Collison,"$1,900,000"
Alec Burks,"$2,202,000"
Nerlens Noel,"$3,172,320"
Andre Iguodala,"$12,868,632"
Chris Duhon,"$1,500,000"
Alonzo Gee,"$3,250,000"
Brandon Heath,"$35,000"
Elton Brand,"$4,000,000"
Evan Fournier,"$1,422,720"
Glen Rice,"$490,180"
Craig Brackins,"$2,394,279"
Jared Dudley,"$4,250,000"
John Henson,"$1,905,360"
Jan Vesely,"$3,340,920"
Andre Roberson,"$740,560"
Jonas Jerebko,"$4,500,000"
Aron Baynes,"$788,872"
Jarrett Jack,"$6,300,000"
Markieff Morris,"$2,091,840"
Alex Len,"$3,492,720"
Ryan Hollins,"$1,186,459"
Dwight Howard,"$20,513,178"
Matthew Dellavedova,"$490,180"
Gal Mekel,"$490,180"
Mike Conley Jr,"$8,000,001"
Greg Monroe,"$4,086,454"
Shabazz Muhammad,"$1,887,120"
Khalif Wyatt,"$35,000"
Chris Andersen,"$1,399,507"
Jose Juan Barea,"$4,687,000"
Ed Davis,"$3,153,860"
Gerald Green,"$3,500,000"
Chris Douglas-Roberts,"$660,619"
Shawne Williams,"$475,334"
Jordan Crawford,"$2,162,419"
Victor Oladipo,"$4,763,760"
D.J. Augustin,"$1,917,215"
Jimmy Butler,"$1,112,880"
Andrew Bogut,"$14,000,000"
Derrick Favors,"$6,008,196"
Kendrick Perkins,"$8,977,437"
Ishmael Smith,"$951,463"
Jrue Holiday,"$9,213,484"
Terrence Jones,"$1,551,840"
Hamed Haddadi,"$200,000"
Jeremy Lin,"$8,374,646"
Andrew Bynum,"$6,000,000"
DeJuan Blair,"$947,907"
Dennis Schroeder,"$1,348,200"
Alexis Ajinca,"$635,880"
Andrei Kirilenko,"$3,183,000"
Quentin Richardson,"$4,208,107"
Paul George,"$3,282,003"
Miroslav Raduljica,"$1,500,000"
