Pau Gasol,"$19,000,000"
Trey Thompkins,"$762,195"
George Hill,"$8,000,000"
Joakim Noah,"$11,300,000"
Derrick Williams,"$4,809,840"
Randy Foye,"$2,500,000"
Mike Miller,"$5,800,000"
Draymond Green,"$850,000"
Kyle Lowry,"$5,750,000"
Carlos Boozer,"$15,000,000"
Raymond Felton,"$3,480,453"
Austin Daye,"$2,958,077"
Thaddeus Young,"$8,039,130"
Kenyon Martin,"$271,394"
Nikola Vucevic,"$1,719,480"
Aaron Brooks,"$3,250,000"
Chauncey Billups,"$4,000,000"
Jodie Meeks,"$1,500,000"
Jordan Hamilton,"$1,121,520"
Isaiah Thomas,"$762,195"
Jared Sullinger,"$1,306,920"
Paul Millsap,"$8,603,633"
Avery Bradley,"$1,630,800"
Joe Johnson,"$19,752,645"
Will Barton,"$550,000"
James Jones,"$1,500,000"
DeMarcus Cousins,"$3,880,800"
Caron Butler,"$8,000,000"
Josh Selby,"$762,195"
Marc Gasol,"$13,891,359"
Tony Parker,"$12,500,000"
LeBron James,"$17,545,000"
Patrick Mills,"$1,085,120"
Jerry Stackhouse,"$854,389"
Damian Lillard,"$3,065,040"
Zach Randolph,"$16,500,000"
Jeremy Evans,"$1,794,872"
Luke Ridnour,"$4,000,000"
Enes Kanter,"$4,319,280"
Ty Lawson,"$2,544,529"
Wesley Matthews,"$6,505,320"
Delonte West,"$854,389"
Tyler Honeycutt,"$809,875"
Johan Petro,"$3,500,000"
Mario Chalmers,"$4,000,000"
Reggie Evans,"$1,622,617"
Dionte Christmas,"$236,802"
Jamal Crawford,"$5,000,000"
A.J. Price,"$885,120"
Khris Middleton,"$473,604"
Danny Granger,"$13,258,606"
Al-Farouq Aminu,"$2,947,800"
Kelenna Azubuike,"$1,069,509"
Al Horford,"$12,000,000"
Jason Kidd,"$3,090,000"
Jordan Williams,"$420,000"
Reggie Williams,"$2,612,500"
Maurice Williams,"$8,500,000"
Kyle O'Quinn,"$788,872"
Festus Ezeli,"$1,020,960"
James Johnson,"$2,812,006"
Amir Johnson,"$6,000,000"
Tyler Zeller,"$1,563,120"
Hasheem Thabeet,"$1,200,000"
Dorell Wright,"$4,106,000"
Chris Kaman,"$8,000,000"
Ersan Ilyasova,"$7,900,000"
O.J. Mayo,"$4,020,000"
Donatas Motiejunas,"$1,361,400"
John Lucas,"$1,500,000"
Jason Smith,"$2,500,000"
Marquis Daniels,"$854,389"
Brandon Rush,"$4,000,000"
Manu Ginobili,"$14,107,492"
Reggie Jackson,"$1,208,400"
Kevin Garnett,"$11,566,265"
Jimmy Butler,"$1,066,920"
Courtney Lee,"$5,000,000"
Luol Deng,"$13,365,000"
Jordan Hill,"$3,632,527"
Eric Bledsoe,"$1,707,720"
Zaza Pachulia,"$5,248,750"
Josh Smith,"$13,200,000"
DeQuan Jones,"$473,604"
JaJuan Johnson,"$1,089,240"
Tony Wroten,"$1,110,120"
Kobe Bryant,"$27,849,149"
Nene ,"$13,000,000"
Earl Clark,"$1,240,000"
DeAndre Jordan,"$10,532,977"
Kurt Thomas,"$1,352,181"
Ivan Johnson,"$962,195"
Goran Dragic,"$7,500,000"
Hakim Warrick,"$4,250,000"
Chris Wilcox,"$854,389"
Stephen Curry,"$3,958,742"
Marcin Gortat,"$7,258,960"
Bernard James,"$473,604"
Kevin Martin,"$12,439,675"
J.J. Hickson,"$4,000,000"
Miles Plumlee,"$1,073,280"
Jason Richardson,"$5,799,625"
Wesley Johnson,"$4,285,560"
Demar DeRozan,"$3,344,250"
David West,"$10,000,000"
Pablo Prigioni,"$473,604"
Spencer Hawes,"$6,500,000"
Rajon Rondo,"$11,000,000"
Carlos Delfino,"$3,000,000"
Kyle Singler,"$1,000,000"
LaMarcus Aldridge,"$13,000,000"
Rodney Stuckey,"$8,500,000"
Beno Udrih,"$7,372,200"
Omri Casspi,"$2,277,306"
Chris Paul,"$18,091,770"
Victor Claver,"$1,300,000"
Kemba Walker,"$2,462,400"
John Jenkins,"$1,204,560"
Trevor Booker,"$1,385,280"
Tyreke Evans,"$5,251,825"
Sasha Pavlovic,"$1,229,255"
Raja Bell,"$3,480,000"
Shane Battier,"$3,135,000"
B.J. Mullens,"$2,253,062"
Marcus Thornton,"$7,525,000"
Alan Anderson,"$854,389"
Michael Kidd-Gilchrist,"$4,602,720"
Jeff Teague,"$2,433,077"
Kirk Hinrich,"$3,941,000"
Evan Turner,"$5,293,080"
Trevor Ariza,"$7,258,960"
Cory Joseph,"$1,074,720"
Monta Ellis,"$11,000,000"
Brian Roberts,"$473,604"
Mike Scott,"$473,604"
Jeff Green,"$8,385,000"
Roy Hibbert,"$13,668,750"
Meyers Leonard,"$2,126,520"
Tony Allen,"$3,300,000"
James Harden,"$5,820,417"
Moe Harkless,"$1,731,960"
Kevin Durant,"$15,032,144"
Danilo Gallinari,"$9,439,000"
JaVale McGee,"$10,000,000"
Shannon Brown,"$3,500,000"
Austin Rivers,"$2,238,360"
Micheal Eric,"$300,000"
Corey Brewer,"$3,243,000"
Mirza Teletovic,"$3,090,000"
Kyrie Irving,"$5,375,760"
Darrell Arthur,"$3,006,217"
Jason Terry,"$5,000,000"
Darius Morris,"$962,195"
Ron Artest,"$7,258,960"
Thomas Robinson,"$3,374,640"
David Lee,"$12,744,000"
Jordan Farmar,"$1,500,000"
Antawn Jamison,"$854,389"
Kenneth Faried,"$1,311,240"
Shaun Livingston,"$1,773,976"
Vince Carter,"$3,090,000"
Bradley Beal,"$4,133,280"
Kris Humphries,"$12,000,000"
Jared Cunningham,"$1,156,320"
Doron Lamb,"$650,000"
Quincy Miller,"$473,604"
Chris Singleton,"$1,551,840"
Christian Eyenga,"$1,174,080"
Nick Young,"$5,600,000"
Nikola Pekovic,"$4,915,000"
PJ Tucker,"$762,195"
Lazar Hayward,"$1,174,080"
Kosta Koufos,"$3,000,000"
Toney Douglas,"$2,067,880"
Jamar Smith,"$25,000"
Cole Aldrich,"$2,445,480"
Anderson Varejao,"$8,368,182"
Norris Cole,"$1,082,520"
Tyler Hansbrough,"$3,055,259"
Malcolm Lee,"$762,195"
Brook Lopez,"$13,668,750"
Marvin Williams,"$8,287,500"
Emeka Okafor,"$13,490,000"
Jameer Nelson,"$8,600,000"
Willie Green,"$1,375,000"
Bismack Biyombo,"$2,404,080"
Nazr Mohammed,"$854,389"
Deron Williams,"$17,177,795"
Brandon Roy,"$5,100,000"
Steve Blake,"$4,000,000"
Rodrigue Beaubois,"$2,227,333"
Patrick Beverley,"$281,377"
Udonis Haslem,"$4,060,000"
Samardo Samuels,"$854,389"
Keith Bogans,"$854,389"
Daniel Gibson,"$4,792,332"
Amare Stoudemire,"$19,948,799"
Martell Webster,"$2,350,000"
Anthony Tolliver,"$854,389"
Kendall Marshall,"$1,919,160"
John Salmons,"$8,083,000"
Linas Kleiza,"$4,600,000"
Taj Gibson,"$2,155,811"
Anthony Davis,"$5,144,280"
Greg Stiemsma,"$2,575,000"
Paul Pierce,"$16,790,345"
Daniel Orton,"$854,389"
Troy Murphy,"$839,311"
Tornike Shengelia,"$473,604"
Kevin Seraphin,"$1,797,600"
Richard Hamilton,"$11,069,767"
Jason Collins,"$854,389"
Jermaine O'neal,"$854,389"
John Wall,"$5,915,880"
Marcus Camby,"$4,590,338"
Robin Lopez,"$4,899,293"
Joel Anthony,"$3,750,000"
Kwame Brown,"$2,819,044"
Steve Nash,"$8,900,000"
Louis Williams,"$5,000,000"
Alexey Shved,"$2,934,610"
E'Twaun Moore,"$381,098"
Al Harrington,"$6,687,400"
Lance Thomas,"$762,195"
John Shurna,"$50,000"
Brandon Knight,"$2,678,640"
Carmelo Anthony,"$19,948,799"
Perry Jones,"$1,035,960"
Hollis Thompson,"$75,000"
Gerald Wallace,"$9,682,435"
Jae Crowder,"$600,491"
Marquis Teague,"$857,000"
Chuck Hayes,"$5,486,250"
Arnett Moultrie,"$1,042,320"
Jeremy Lamb,"$2,020,200"
Tiago Splitter,"$3,944,000"
Orlando Johnson,"$550,000"
Thabo Sefolosha,"$3,600,000"
Kyle Korver,"$5,000,000"
Daequan Cook,"$3,090,942"
Brandon Bass,"$6,000,000"
Nick Collison,"$2,929,332"
Eric Maynor,"$2,338,721"
Wilson Chandler,"$5,930,414"
Derek Fisher,"$644,005"
Jose Calderon,"$10,561,982"
Josh McRoberts,"$3,135,000"
Elliot Williams,"$1,442,880"
Desagana Diop,"$7,372,200"
Damien Wilkins,"$854,289"
Ekpe Udoh,"$3,524,880"
Luke Babbitt,"$1,892,280"
Kevin Murphy,"$473,604"
Tyrus Thomas,"$8,000,000"
Larry Sanders,"$1,991,760"
Anthony Morrow,"$4,000,000"
Greivis Vasquez,"$1,191,240"
Grant Hill,"$1,957,000"
Ramon Sessions,"$5,000,000"
Quincy Acy,"$665,000"
Ricky Rubio,"$3,741,120"
,
Rudy Gay,"$16,460,538"
Sundiata Gaines,"$25,000"
Jeff Taylor,"$575,000"
Josh Childress,"$854,389"
Boris Diaw,"$4,500,000"
Greg Smith,"$762,195"
