Theo Ratliff,"$11,666,666"
Pau Gasol,"$13,735,000"
Joakim Noah,"$2,135,400"
Randy Foye,"$2,631,840"
Donyell Marshall,"$5,566,965"
Mike Miller,"$8,376,194"
Kyle Lowry,"$1,087,680"
Carlos Boozer,"$11,593,816"
Jannero Pargo,"$1,830,000"
Raymond Felton,"$3,274,440"
Kareem Rush,"$770,610"
Thaddeus Young,"$1,830,720"
Marcus Slaughter,"$140,000"
Bonzi Wells,"$2,284,200"
Aaron Brooks,"$972,720"
Chauncey Billups,"$10,000,000"
Marcin Gortat,"$427,163"
Brian Cook,"$3,500,000"
Paul Millsap,"$687,456"
Joe Johnson,"$13,488,377"
Primoz Brezec,"$2,750,000"
Taurean Green,"$427,163"
Zaza Pachulia,"$4,000,000"
James Jones,"$2,900,000"
Von Wafer,"$711,517"
Peja Stojakovic,"$11,664,000"
Rasheed Wallace,"$12,540,000"
Robert Hite,"$20,000"
Juan Dixon,"$2,550,000"
Caron Butler,"$8,468,990"
Saer Sene,"$2,105,520"
DeSagana Diop,"$2,146,000"
Joey Graham,"$1,596,600"
Tony Parker,"$10,500,000"
Robert Swift,"$2,601,113"
LeBron James,"$13,041,250"
Zach Randolph,"$13,333,333"
Nazr Mohammed,"$5,632,200"
Luke Ridnour,"$6,500,000"
Malik Rose,"$7,101,250"
Devin Brown,"$1,200,000"
Nate Robinson,"$1,268,160"
Delonte West,"$1,889,760"
Yao Ming,"$13,762,775"
Johan Petro,"$1,077,120"
Antoine Wright,"$1,680,600"
Jason Williams,"$8,937,500"
Sasha Vujacic,"$1,756,951"
Reggie Evans,"$4,320,000"
Sean May,"$1,862,160"
Sammy Mejia,"$125,000"
Sean Williams,"$1,416,600"
Danny Granger,"$1,516,800"
Cuttino Mobley,"$8,350,000"
Kelenna Azubuike,"$687,456"
Al Horford,"$3,745,800"
Alexander Johnson,"$687,456"
Mickael Gelabale,"$802,000"
Chris Mihm,"$2,500,000"
Maurice Williams,"$7,750,000"
Ben Wallace,"$15,500,000"
Juan Carlos Navarro,"$538,090"
Amir Johnson,"$3,666,667"
Joe Smith,"$5,205,000"
James Posey,"$3,206,000"
Greg Oden,"$4,662,000"
Dorell Wright,"$2,040,746"
Chris Kaman,"$8,600,000"
Scot Pollard,"$770,610"
Yakhouba Diawara,"$687,456"
Julian Wright,"$1,739,160"
John Lucas,"$770,610"
Jason Smith,"$1,233,840"
Marquis Daniels,"$6,373,900"
Manu Ginobili,"$9,079,811"
Josh Powell,"$800,000"
Antawn Jamison,"$16,360,094"
Kevin Garnett,"$23,751,934"
Leandro Barbosa,"$5,600,000"
Luol Deng,"$3,320,339"
Jarvis Hayes,"$1,200,000"
Jerome James,"$5,800,000"
Josh Smith,"$2,243,543"
David Noel,"$687,456"
Devin Green,"$90,000"
Brendan Haywood,"$5,000,000"
Jamal Crawford,"$7,920,000"
Allen Iverson,"$19,012,500"
Ronald Dupree,"$826,046"
Zydrunas Ilgauskas,"$10,142,156"
Bobby Jones,"$372,035"
Kobe Bryant,"$19,490,625"
Rodney Carney,"$1,547,760"
Mark Blount,"$7,901,040"
Hakim Warrick,"$1,376,040"
Chris Wilcox,"$6,500,000"
Antonio Daniels,"$5,800,000"
Aleksandar Pavlovic,"$4,250,000"
Michael Finley,"$21,696,750"
Mehmet Okur,"$9,000,000"
Keith Van Horn,"$4,200,000"
David Lee,"$990,600"
Kevin Martin,"$1,808,121"
Marcus Williams,"$17,589"
Kris Humphries,"$2,522,913"
Keith Langford,"$32,665"
Morris Almond,"$1,005,960"
David West,"$10,650,000"
Kyrylo Fesenko,"$750,000"
Rajon Rondo,"$1,372,320"
Jelani McCoy,"$154,122"
Carlos Delfino,"$1,868,141"
Renaldo Balkman,"$1,280,640"
LaMarcus Aldridge,"$4,329,360"
Bobby Simmons,"$9,280,000"
Rodney Stuckey,"$1,569,600"
Rashad McCants,"$1,769,160"
Beno Udrih,"$2,508,640"
Nene,"$8,840,000"
Chris Paul,"$3,615,960"
Ricky Davis,"$6,819,000"
Channing Frye,"$2,487,240"
Cedric Simmons,"$1,629,120"
Fred Jones,"$3,300,000"
Arvydas Macijauskas,"$500,000"
Raja Bell,"$4,750,000"
Mike Conley,"$3,377,160"
Shane Battier,"$5,883,600"
Luke Jackson,"$1,065,775"
Erick Dampier,"$10,590,500"
Robert Horry,"$3,630,000"
JamesOn Curry,"$427,163"
Samuel Dalembert,"$10,251,435"
Kirk Hinrich,"$11,250,000"
Adrian Griffin,"$1,593,000"
Shavlik Randolph,"$1,130,000"
Trevor Ariza,"$3,100,000"
Linton Johnson,"$45,330"
Monta Ellis,"$770,610"
Steven Hunter,"$3,638,600"
Jeff Green,"$3,058,200"
Al Thornton,"$1,652,280"
Javaris Crittenton,"$1,285,200"
Nenad Krstic,"$1,889,760"
Tony Allen,"$1,868,141"
Jermaine O'Neal ,"$19,728,000"
Randolph Morris,"$810,000"
Kevin Durant,"$4,171,200"
Stephane Lasme,"$55,279"
D.J. Strawberry,"$427,163"
Lorenzen Wright,"$3,250,000"
Shannon Brown,"$1,044,120"
Melvin Ely,"$895,341"
Chris Quinn,"$687,456"
Corey Brewer,"$2,535,720"
Mike Harris,"$50,000"
Jason Kidd,"$19,728,000"
Eddie Gill,"$131,457"
Sean Marks,"$770,610"
Alando Tucker,"$931,920"
Jason Terry,"$8,898,000"
Eduardo Najera,"$4,952,380"
Ron Artest,"$7,400,000"
Thomas Gardner,"$108,047"
Morris Peterson,"$5,000,000"
Jordan Farmar,"$1,009,560"
Calvin Booth,"$1,103,225"
Ira Newble,"$3,441,900"
Jamario Moon,"$427,163"
Shaun Livingston,"$4,404,628"
Austin Croshere,"$770,610"
Ronald Murray,"$1,890,000"
Vince Carter,"$13,325,000"
Smush Parker,"$2,250,000"
Andres Nocioni,"$8,500,000"
Rasual Butler,"$3,315,000"
Nick Young,"$1,491,240"
Luther Head,"$1,122,000"
Brian Cardinal,"$5,850,000"
Eddie Jones,"$1,830,000"
Damon Stoudamire,"$4,104,723"
Bostjan Nachbar,"$2,500,000"
Dan Gadzuric,"$5,751,130"
Devean George,"$2,369,111"
Anderson Varejao,"$5,356,000"
Brian Scalabrine,"$3,000,000"
Jamaal Magloire,"$4,000,000"
Mustafa Shakur,"$20,000"
Eddie House,"$1,500,000"
Jason Richardson,"$11,111,110"
Marvin Williams,"$4,466,040"
Emeka Okafor,"$5,427,307"
Patrick O'Bryant,"$2,261,400"
Jameer Nelson,"$1,961,609"
Willie Green,"$3,094,000"
Deron Williams,"$4,010,640"
Brandon Roy,"$2,883,120"
Baron Davis,"$16,440,000"
Steve Blake,"$4,250,000"
Udonis Haslem,"$6,050,000"
Keith Bogans,"$2,440,000"
Daniel Gibson,"$687,456"
Amare Stoudemire,"$13,762,775"
Martell Webster,"$2,974,080"
Acie Law,"$1,927,080"
John Salmons,"$4,752,000"
Charlie Villaneuva,"$2,715,000"
Linas Kleiza,"$1,011,360"
Stromile Swift,"$5,800,000"
Shaquille O'Neal,"$20,000,000"
Fabricio Oberto,"$3,500,000"
Dominic McGuire,"$427,163"
Michael Ruffin,"$770,610"
Marcus Vinicius,"$687,456"
Paul Pierce,"$16,360,094"
Troy Murphy,"$9,206,349"
Jason Hart,"$2,300,000"
Tim Thomas,"$5,632,200"
Derek Anderson,"$770,610"
Chris Richard,"$427,163"
Richard Hamilton,"$10,000,000"
Jason Collins,"$6,100,000"
Brad Miller,"$10,500,000"
Bobby Jackson,"$5,670,000"
Bo Outlaw,"$770,610"
Jeff Foster,"$5,500,000"
Marcus Camby,"$11,250,000"
Joel Anthony,"$427,163"
Adam Morrison,"$3,887,880"
Kwame Brown,"$9,075,000"
Steve Nash,"$11,375,000"
Louis Williams,"$770,610"
Quinton Ross,"$826,046"
Tracy McGrady,"$19,014,187"
Lamar Odom,"$13,248,596"
Solomon Jones,"$729,000"
Al Harrington,"$8,425,625"
Sergio Rodriguez,"$817,000"
Kendrick Perkins,"$4,480,912"
Adam Haluska,"$427,163"
Gordan Giricek,"$4,000,000"
Mike Wilks,"$217,584"
Carmelo Anthony,"$13,041,250"
Josh Howard,"$9,500,000"
Gerald Wallace,"$9,500,000"
Spencer Hawes,"$2,028,600"
Jeremy Richardson,"$346,237"
Chuck Hayes,"$1,750,000"
Orien Greene,"$100,000"
Thabo Sefolosha,"$1,805,160"
Kyle Korver,"$4,500,000"
Daequan Cook,"$1,184,400"
Darryl Watkins,"$110,560"
Othella Harrington,"$2,376,000"
Brandon Bass,"$770,610"
Nick Collison,"$5,750,000"
Wilson Chandler,"$1,091,640"
Derek Fisher,"$4,352,000"
Jose Calderon,"$2,471,604"
Josh McRoberts,"$427,163"
David Harrison ,"$1,734,316"
Damien Wilkins,"$2,900,000"
Tyrus Thomas,"$3,505,320"
Tony Battie,"$5,200,000"
Mike Bibby,"$13,983,603"
Wally Szczerbiak,"$12,275,000"
C.J. Watson,"$251,272"
Grant Hill,"$1,830,000"
Ramon Sessions,"$427,163"
,
Brevin Knight,"$3,100,000"
Rudy Gay,"$2,411,160"
Awvee Storey,"$770,610"
Desmond Mason,"$5,000,000"
Josh Childress,"$3,631,449"
Boris Diaw,"$9,000,000"
Josh Boone,"$1,133,040"
Drew Gooden,"$6,453,416"
Dwyane Wade,"$13,041,250"
Oleksiy Pecherov,"$1,345,800"
Nick Fazekas,"$598,028"
Brian Skinner,"$770,610"
Juwan Howard,"$5,589,130"
Dikembe Mutombo,"$770,610"
Marco Belinelli,"$1,345,800"
Ronnie Price,"$1,100,000"
Darius Songaila,"$3,942,000"
Jerry Stackhouse,"$6,750,000"
Mike Dunleavy,"$8,219,008"
Gabe Pruitt,"$650,000"
Chris Bosh,"$13,041,250"
Hedo Turkoglu,"$6,373,900"
Carlos Arroyo,"$4,000,000"
Rashard Lewis,"$14,884,951"
Kirk Snyder,"$2,358,433"
Travis Outlaw,"$4,000,000"
Damon Jones,"$4,172,432"
Marcus Banks,"$3,966,207"
T.J. Ford,"$8,275,000"
Anthony Parker,"$4,350,000"
