Pau Gasol,"$18,714,150"
Trey Thompkins,"$535,000"
George Hill,"$2,086,359"
Joakim Noah,"$12,000,000"
Derrick Williams,"$4,602,720"
Randy Foye,"$4,250,000"
Mike Miller,"$5,400,000"
Kyle Lowry,"$5,750,000"
Carlos Boozer,"$13,500,000"
Jannero Pargo,"$1,223,166"
Raymond Felton,"$7,560,000"
Austin Daye,"$1,929,600"
Thaddeus Young,"$7,478,261"
Terrence Williams,"$2,369,040"
Nikola Vucevic,"$1,645,440"
Chauncey Billups,"$2,000,000"
Jordan Hamilton,"$1,073,280"
Isaiah Thomas,"$473,604"
Paul Millsap,"$8,103,435"
Avery Bradley,"$1,524,480"
Joe Johnson,"$18,038,573"
James Jones,"$1,500,000"
Von Wafer,"$1,069,509"
DeMarcus Cousins,"$3,627,720"
Caron Butler,"$8,000,000"
Josh Selby,"$550,000"
Marc Gasol,"$12,922,194"
Joey Graham,"$100,000"
Tony Parker,"$12,500,000"
LeBron James,"$16,022,500"
Brook Lopez,"$3,076,983"
Jerry Stackhouse,"$1,352,181"
Zach Randolph,"$15,200,000"
DeAndre Liggins,"$473,604"
Luke Ridnour,"$3,680,000"
Enes Kanter,"$4,133,280"
Ty Lawson,"$1,654,440"
Wesley Matthews,"$6,135,160"
Delonte West,"$1,146,337"
Tyler Honeycutt,"$775,000"
Johan Petro,"$3,250,000"
Mario Chalmers,"$4,000,000"
Channing Frye,"$5,600,000"
Reggie Evans,"$1,229,255"
DaJuan Summers,"$854,389"
Danny Granger,"$12,215,904"
Al-Farouq Aminu,"$2,755,560"
Al Horford,"$12,000,000"
Jordan Williams,"$473,604"
Reggie Williams,"$2,500,000"
Maurice Williams,"$8,500,000"
James Johnson,"$1,833,120"
Amir Johnson,"$5,500,000"
Kevin Love,"$4,609,701"
Greg Oden,"$1,500,000"
Hasheem Thabeet,"$5,127,720"
Dorell Wright,"$3,823,000"
Chris Kaman,"$12,200,000"
O.J. Mayo,"$5,632,637"
Jason Smith,"$2,500,000"
Marquis Daniels,"$1,223,166"
Brandon Rush,"$2,956,658"
Manu Ginobili,"$12,981,038"
Antawn Jamison,"$15,076,715"
