Theo Ratliff,"$1,306,455"
Pau Gasol,"$16,452,000"
Shavlik Randolph,"$214,721"
Jodie Meeks,"$650,000"
Joakim Noah,"$2,445,680"
Randy Foye,"$3,575,761"
Mike Miller,"$9,880,957"
Kyle Lowry,"$2,034,996"
Carlos Boozer,"$12,323,900"
Jannero Pargo,"$1,990,000"
Raymond Felton,"$5,501,196"
Austin Daye,"$1,677,840"
Thaddeus Young,"$2,105,400"
Terrence Williams,"$2,060,040"
Aaron Brooks,"$1,118,520"
Chauncey Billups,"$12,100,000"
George Hill,"$1,081,680"
Brian Cook,"$3,500,000"
Paul Millsap,"$7,692,932"
Joe Johnson,"$14,976,754"
Primoz Brezec,"$1,107,572"
Jerome James,"$6,600,000"
James Jones,"$4,320,000"
Peja Stojakovic,"$13,392,000"
Rasheed Wallace,"$5,854,000"
Caron Butler,"$10,030,970"
Marc Gasol,"$3,240,000"
Joey Graham,"$884,881"
Tony Parker,"$12,600,000"
LeBron James,"$15,779,912"
Brook Lopez,"$2,255,880"
Zach Randolph,"$16,000,000"
Nazr Mohammed,"$6,466,600"
Trenton Hassell,"$4,350,000"
Luke Ridnour,"$6,500,000"
Joe Alexander,"$2,583,360"
Ty Lawson,"$1,438,680"
Devin Brown,"$1,107,572"
Delonte West,"$4,254,250"
Yao Ming,"$16,378,325"
Johan Petro,"$884,881"
Antoine Wright,"$1,989,000"
Jason Williams,"$1,306,455"
Mario Chalmers,"$756,000"
Sasha Vujacic,"$5,000,000"
Reggie Evans,"$4,960,000"
DaJuan Summers,"$457,588"
Quincy Douby,"$111,326"
Danny Granger,"$10,130,500"
Cuttino Mobley,"$9,500,000"
Kelenna Azubuike,"$3,132,000"
Al Horford,"$4,307,640"
Maurice Williams,"$8,860,000"
Ben Wallace,"$11,306,455"
James Johnson,"$1,594,080"
Amir Johnson,"$3,666,667"
Joe Smith,"$1,306,455"
James Posey,"$6,031,800"
Greg Oden,"$5,361,240"
Hasheem Thabeet,"$4,458,840"
Dorell Wright,"$2,887,165"
Chris Kaman,"$10,400,000"
Ersan Ilyasova,"$2,100,000"
O.J. Mayo,"$4,165,560"
Yakhouba Diawara,"$940,000"
Julian Wright,"$2,000,040"
Jason Smith,"$1,418,880"
Marquis Daniels,"$1,990,000"
Brandon Rush,"$1,934,160"
Manu Ginobili,"$10,728,130"
Josh Powell,"$959,111"
Kevin Love,"$3,401,040"
Antawn Jamison,"$11,641,095"
Kevin Garnett,"$16,451,934"
Leandro Barbosa,"$6,600,000"
Courtney Lee,"$1,264,440"
Luol Deng,"$10,365,000"
Jordan Hill,"$2,483,280"
Jarvis Hayes,"$2,062,800"
Rudy Fernandez,"$1,165,320"
Roko-Leni Ukic,"$1,350,000"
Josh Smith,"$10,800,000"
Jamal Crawford,"$9,360,000"
Allen Iverson,"$385,173"
Pops Mensah-Bonsu,"$354,478"
Walter Sharpe,"$736,420"
Zydrunas Ilgauskas,"$11,541,074"
