Theo Ratliff,"$1,262,275"
Pau Gasol,"$15,106,000"
George Hill,"$1,006,200"
Joakim Noah,"$2,295,480"
Randy Foye,"$2,815,560"
Donyell Marshall,"$5,950,894"
Mike Miller,"$9,128,575"
Kyle Lowry,"$1,163,520"
Carlos Boozer,"$11,593,817"
Raymond Felton,"$4,148,715"
Kareem Rush,"$998,398"
Thaddeus Young,"$1,968,120"
Kevin Love,"$3,163,680"
Mike Taylor,"$550,000"
Aaron Brooks,"$1,045,560"
Chauncey Billups,"$11,050,000"
Walter Sharpe,"$442,114"
Brian Cook,"$3,500,000"
Paul Millsap,"$797,581"
Joe Johnson,"$14,232,566"
Jerome James,"$6,200,000"
James Jones,"$4,000,000"
Von Wafer,"$826,269"
Rasheed Wallace,"$13,680,000"
Caron Butler,"$9,249,980"
Sean Singletary,"$442,114"
Saer Sene,"$2,252,400"
Marc Gasol,"$3,000,000"
Joey Graham,"$2,449,184"
Tony Parker,"$11,550,000"
Robert Swift,"$3,579,131"
LeBron James,"$14,410,581"
Brook Lopez,"$2,098,560"
Zach Randolph,"$14,666,667"
Walter Hermann,"$2,000,000"
Trenton Hassell,"$4,350,000"
Luke Ridnour,"$6,500,000"
Joe Alexander,"$2,403,120"
Malik Rose,"$7,647,500"
Devin Brown,"$998,398"
Delonte West,"$3,850,000"
Yao Ming,"$15,070,550"
Johan Petro,"$1,939,893"
Antoine Wright,"$1,800,000"
Jason Williams,"$1,262,275"
Mario Chalmers,"$700,000"
Sasha Vujacic,"$4,524,887"
Reggie Evans,"$4,640,000"
Sean May,"$2,661,026"
Sean Williams,"$1,522,920"
Danny Granger,"$2,329,805"
Cuttino Mobley,"$8,925,000"
Kelenna Azubuike,"$2,900,000"
Al Horford,"$4,026,700"
Chris Mihm,"$2,762,500"
Maurice Williams,"$8,353,000"
Ben Wallace,"$14,500,000"
Jawad Williams,"$442,114"
Amir Johnson,"$3,666,667"
Joe Smith,"$4,795,000"
James Posey,"$5,585,000"
Greg Oden,"$5,011,680"
Dorell Wright,"$2,612,835"
Chris Kaman,"$9,500,000"
O.J. Mayo,"$3,875,040"
Yakhouba Diawara,"$870,000"
Julian Wright,"$1,869,600"
John Lucas,"$536,114"
Jason Smith,"$1,326,360"
Marquis Daniels,"$6,864,200"
Brandon Rush,"$1,799,160"
Manu Ginobili,"$9,905,248"
Josh Powell,"$854,957"
Antawn Jamison,"$9,923,285"
Kevin Garnett,"$24,751,934"
Leandro Barbosa,"$6,100,000"
Courtney Lee,"$1,176,240"
Luol Deng,"$9,385,000"
Jarvis Hayes,"$1,910,000"
Rudy Fernandez,"$1,084,080"
Roko-Leni Ukic,"$1,250,000"
Josh Smith,"$10,000,000"
Jarron Collins,"$2,074,302"
Jamal Crawford,"$8,640,000"
Allen Iverson,"$20,840,625"
Zydrunas Ilgauskas,"$10,841,615"
Shaquille O'Neal,"$20,000,000"
Kobe Bryant,"$21,262,500"
Rodney Carney,"$1,655,760"
