Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
1,Arron Afflalo,SG,24,DEN,82,2221,10.9,.576,.557,.168,.426,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,114,111,2.8,1.4,4.3,.092
2,Alexis Ajinca,C,21,CHA,6,30,6.3,.479,.500,.100,.000,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,81,103,-0.1,0.0,0.0,-0.013
3,LaMarcus Aldridge,PF,24,POR,78,2922,18.2,.535,.497,.260,.014,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,113,107,5.5,3.3,8.8,.145
4,Joe Alexander,SF,23,CHI,8,29,2.8,.273,.167,.500,.167,7.8,11.3,9.6,9.3,1.8,2.6,0.0,11.3,88,104,0.0,0.0,0.0,.030
5,Malik Allen,PF,31,DEN,51,456,5.9,.431,.401,.112,.052,9.2,11.5,10.4,5.1,1.2,0.8,15.3,14.0,93,110,-0.3,0.3,0.1,.009
6,Ray Allen,SG,34,BOS,80,2819,15.2,.601,.551,.260,.410,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,115,108,5.1,2.9,7.9,.135
7,Tony Allen,SG,28,BOS,54,889,14.2,.540,.510,.470,.020,7.4,12.5,10.0,13.0,3.5,1.7,17.8,19.6,101,101,0.2,1.6,1.9,.100
8,Rafer Alston,PG,33,TOT,52,1421,8.2,.443,.413,.182,.377,1.0,9.7,5.3,20.2,1.9,0.5,16.5,18.8,89,109,-1.6,1.2,-0.4,-0.013
8,Rafer Alston,PG,33,NJN,27,766,8.7,.436,.394,.195,.314,1.3,10.4,5.6,23.1,1.9,0.5,16.9,21.7,87,112,-1.2,0.4,-0.8,-0.051
8,Rafer Alston,PG,33,MIA,25,655,7.7,.456,.444,.160,.479,0.7,8.9,4.8,16.7,1.9,0.6,15.8,15.4,93,106,-0.4,0.8,0.4,.031
9,Louis Amundson,PF,27,PHO,79,1168,14.4,.562,.551,.446,.004,13.1,19.9,16.7,3.7,1.0,4.4,14.7,14.6,113,107,1.5,1.3,2.9,.118
10,Chris Andersen,PF,31,DEN,76,1695,15.8,.631,.566,.940,.012,10.1,22.7,16.4,2.8,1.3,6.3,14.3,10.8,126,103,3.2,2.7,5.9,.166
11,David Andersen,C,29,HOU,63,891,12.1,.497,.472,.197,.229,6.7,20.6,13.4,8.1,0.9,1.0,9.1,20.2,103,108,0.4,0.9,1.3,.070
12,Antonio Anderson,SF,24,OKC,1,15,-1.7,.333,.333,.000,.000,7.9,0.0,3.8,0.0,0.0,0.0,25.0,12.0,66,114,0.0,0.0,0.0,-0.104
13,Ryan Anderson,PF,21,ORL,63,911,18.1,.574,.536,.211,.544,9.2,16.2,12.8,7.1,1.4,1.1,11.7,24.4,112,103,1.7,1.4,3.1,.161
14,Carmelo Anthony,SF,25,DEN,69,2634,22.2,.548,.478,.407,.125,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,110,109,5.6,2.4,7.9,.145
15,Joel Anthony,C,27,MIA,80,1322,10.2,.546,.478,.579,.000,11.0,11.1,11.1,1.3,0.8,6.7,18.4,8.7,112,103,1.0,2.0,3.1,.111
16,Gilbert Arenas,PG,28,WAS,32,1169,18.7,.511,.462,.336,.294,1.6,11.6,6.5,36.3,1.8,0.6,14.2,31.9,103,110,0.9,0.9,1.8,.072
17,Trevor Ariza,SF,24,HOU,72,2629,13.3,.488,.462,.228,.407,3.3,14.7,8.8,16.7,2.4,1.1,12.8,21.2,99,106,0.1,3.1,3.2,.058
18,Hilton Armstrong,PF-C,25,TOT,33,335,6.9,.381,.354,.405,.013,9.2,19.2,14.1,8.8,2.3,2.7,19.1,15.5,83,106,-0.5,0.4,-0.1,-0.017
18,Hilton Armstrong,PF,25,NOH,18,239,7.5,.409,.380,.560,.000,8.2,22.0,15.0,9.3,1.7,2.5,17.3,14.4,89,107,-0.2,0.3,0.1,.010
18,Hilton Armstrong,C,25,SAC,6,56,8.4,.388,.333,.167,.000,10.1,18.6,14.3,5.0,1.8,5.2,23.7,13.3,81,105,-0.1,0.1,0.0,-0.012
18,Hilton Armstrong,C,25,HOU,9,40,1.1,.280,.294,.118,.059,13.8,3.0,8.6,11.5,6.4,0.0,21.9,25.3,64,101,-0.2,0.1,-0.2,-0.185
19,Carlos Arroyo,PG,30,MIA,72,1585,12.3,.529,.484,.240,.067,1.9,7.7,4.8,22.2,1.2,0.3,11.5,13.9,115,108,2.2,1.5,3.7,.113
20,Darrell Arthur,PF,21,MEM,32,457,10.5,.449,.432,.205,.007,9.4,18.7,14.0,4.9,1.6,2.3,12.1,17.4,96,108,-0.1,0.4,0.3,.031
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
21,Chucky Atkins,PG,35,DET,40,644,8.3,.477,.433,.172,.465,0.9,4.8,2.7,21.6,1.4,0.0,15.9,14.4,102,115,0.2,0.1,0.2,.017
22,D.J. Augustin,PG,22,CHA,80,1472,11.2,.516,.467,.301,.409,0.9,6.9,4.0,21.7,1.6,0.3,13.1,17.9,106,107,1.1,1.7,2.8,.092
23,Jeff Ayres,C,22,POR,39,405,12.1,.705,.662,.308,.000,7.6,22.5,15.0,0.4,0.9,3.2,14.0,10.1,130,105,0.8,0.6,1.3,.156
24,Kelenna Azubuike,SF,26,GSW,9,231,19.8,.623,.602,.318,.307,5.7,14.2,9.9,6.8,1.0,2.8,6.5,19.9,122,113,0.6,0.1,0.7,.148
25,Renaldo Balkman,SF,25,DEN,13,91,6.6,.339,.333,.333,.389,5.1,23.9,14.6,10.6,4.5,1.7,22.5,13.0,74,99,-0.2,0.2,0.0,-0.001
