Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
1,Jeff Adrien,PF,24,GSW,23,0,8.5,1,2.3,0.426,0,0,,1,2.3,0.426,0.5,0.8,0.579,1,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2.5,0
2,Arron Afflalo,SG,25,DEN,69,69,33.7,4.5,9.1,0.498,1.5,3.6,0.423,3,5.5,0.546,2,2.4,0.847,0.7,3,3.6,2.4,0.5,0.4,1,2.2,12.6,7562500
3,Maurice Ager,SG,26,MIN,4,0,7.3,1.5,2.8,0.545,0.8,1,0.75,0.8,1.8,0.429,0,0,,0,0.5,0.5,0.3,0.3,0,1,1,3.8,0
4,Alexis Ajinca,C,22,TOT,34,2,10,1.7,3.9,0.444,0.4,1,0.353,1.4,2.9,0.475,0.4,0.5,0.722,0.5,1.8,2.3,0.3,0.3,0.6,0.5,2.1,4.2,0
4,Alexis Ajinca,C,22,DAL,10,2,7.5,1.2,3.2,0.375,0.3,0.7,0.429,0.9,2.5,0.36,0.2,0.3,0.667,0.5,1.2,1.7,0.2,0.3,0.5,0.1,1.3,2.9,0
4,Alexis Ajinca,C,22,TOR,24,0,11,2,4.2,0.465,0.4,1.1,0.333,1.6,3.1,0.514,0.5,0.6,0.733,0.5,2,2.5,0.3,0.3,0.6,0.7,2.5,4.8,0
5,Solomon Alabi,C,22,TOR,12,0,4.9,0.3,1.3,0.2,0,0,,0.3,1.3,0.2,0,0.2,0,0.6,0.6,1.2,0.2,0.2,0.2,0.3,0.4,0.5,830000
6,Cole Aldrich,C,22,OKC,18,0,7.9,0.4,0.8,0.533,0,0,,0.4,0.8,0.533,0.1,0.2,0.5,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1,2286000
7,LaMarcus Aldridge,PF,25,POR,81,81,39.6,8.7,17.5,0.5,0,0.3,0.174,8.7,17.2,0.505,4.3,5.5,0.791,3.4,5.3,8.8,2.1,1,1.2,1.9,2.7,21.8,11872000
8,Malik Allen,PF,32,ORL,18,0,9.9,0.6,1.7,0.355,0,0,,0.6,1.7,0.355,0.1,0.1,0.5,0.7,1.1,1.8,0.2,0.1,0.2,0.2,1.7,1.3,0
9,Ray Allen,SG,35,BOS,80,80,36.1,6,12.2,0.491,2.1,4.7,0.444,3.9,7.5,0.52,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1,0.2,1.5,1.8,16.5,10500000
10,Tony Allen,SG,29,MEM,72,31,20.8,3.5,6.8,0.51,0.1,0.3,0.174,3.4,6.5,0.527,1.9,2.5,0.753,1,1.7,2.7,1.4,1.8,0.6,1.2,2.2,8.9,3150000
11,Al-Farouq Aminu,SF,20,LAC,81,14,17.9,2,5,0.394,0.6,1.8,0.315,1.4,3.2,0.437,1.1,1.5,0.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6,2755560
12,Louis Amundson,PF,28,GSW,46,7,15,1.8,4,0.454,0,0,,1.8,4,0.454,0.7,1.9,0.391,1.8,2.3,4,0.4,0.3,0.7,0.5,1.9,4.3,2403000
13,Chris Andersen,C,32,DEN,45,0,16.3,1.8,3,0.599,0,0,0,1.8,3,0.603,1.9,3,0.637,1.7,3.2,4.9,0.4,0.5,1.3,0.6,1.8,5.6,4234000
14,David Andersen,PF,30,TOT,40,0,9.3,1.4,3,0.463,0.2,0.6,0.348,1.2,2.5,0.49,0.4,0.6,0.636,0.5,1.6,2.1,0.3,0.1,0.2,0.6,1,3.4,185185
14,David Andersen,PF,30,TOR,11,0,13.6,2.1,4.3,0.489,0.3,0.9,0.3,1.8,3.4,0.541,0.6,0.6,1,0.7,2.4,3.1,0.6,0.3,0.3,0.7,1,5.1,185185
14,David Andersen,PF,30,NOH,29,0,7.7,1.1,2.6,0.446,0.2,0.4,0.385,1,2.1,0.459,0.2,0.5,0.467,0.4,1.3,1.7,0.2,0.1,0.2,0.5,1,2.7,185185
15,James Anderson,SF,21,SAS,26,2,11,1.2,3.1,0.383,0.7,1.8,0.391,0.5,1.3,0.371,0.5,0.7,0.778,0.1,0.8,0.9,0.7,0.1,0.2,0.5,0.9,3.6,1402540
16,Ryan Anderson,PF,22,ORL,64,14,22.3,3.5,8.2,0.43,2.1,5.3,0.393,1.4,2.9,0.5,1.5,1.8,0.812,2,3.5,5.5,0.8,0.5,0.6,0.8,2.1,10.6,2244601
17,Carmelo Anthony,SF,26,TOT,77,77,35.7,8.9,19.5,0.455,1.2,3.3,0.378,7.6,16.3,0.47,6.6,7.9,0.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,25.6,18518574
17,Carmelo Anthony,SF,26,DEN,50,50,35.5,8.7,19.3,0.452,0.8,2.5,0.333,7.9,16.8,0.47,6.9,8.3,0.823,1.5,6.1,7.6,2.8,0.9,0.6,2.8,2.7,25.2,18518574
17,Carmelo Anthony,SF,26,NYK,27,27,36.2,9.1,19.9,0.461,2,4.6,0.424,7.2,15.2,0.472,6.1,7,0.872,1.5,5.2,6.7,3,0.9,0.6,2.4,3.3,26.3,18518574
18,Joel Anthony,C,28,MIA,75,11,19.5,0.7,1.3,0.535,0,0,,0.7,1.3,0.535,0.6,1,0.644,1.4,2.2,3.5,0.3,0.1,1.2,0.5,2.6,2,3600000
19,Gilbert Arenas,PG,29,TOT,70,16,25.7,3.8,10.5,0.366,1.4,4.7,0.297,2.5,5.8,0.423,1.7,2.2,0.784,0.3,2.4,2.7,3.9,1.1,0.3,2.5,2.7,10.8,0
19,Gilbert Arenas,PG,29,WAS,21,14,34.6,6.2,15.7,0.394,2.2,6.9,0.324,4,8.8,0.449,2.7,3.2,0.836,0.3,3,3.3,5.6,1.4,0.6,3.4,3.6,17.3,0
19,Gilbert Arenas,PG,29,ORL,49,2,21.8,2.8,8.2,0.344,1,3.7,0.275,1.8,4.5,0.401,1.3,1.8,0.744,0.3,2.1,2.4,3.2,0.9,0.2,2.2,2.3,8,0
20,Trevor Ariza,SF,25,NOH,75,75,34.7,4,10.2,0.398,1.1,3.6,0.303,2.9,6.5,0.45,1.8,2.6,0.701,0.8,4.6,5.4,2.2,1.6,0.4,1.6,2.4,11,6790640
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0
21,Hilton Armstrong,C,26,TOT,53,2,9.2,0.7,1.4,0.487,0,0.1,0.5,0.7,1.4,0.486,0.3,0.6,0.485,0.8,1.7,2.5,0.3,0.3,0.4,0.5,1.6,1.7,0
21,Hilton Armstrong,C,26,WAS,41,2,10,0.8,1.6,0.484,0,0.1,0.333,0.7,1.5,0.492,0.3,0.6,0.609,1,1.8,2.8,0.2,0.4,0.4,0.6,1.8,1.9,0
21,Hilton Armstrong,C,26,ATL,12,0,6.3,0.5,1,0.5,0.1,0.1,1,0.4,0.9,0.455,0.2,0.8,0.2,0.3,1.2,1.4,0.3,0.3,0.4,0.3,0.8,1.3,0
