Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0
21,D.J. Augustin,PG,25,IND,76,5,16.1,1.4,3.9,.350,0.9,2.5,.353,0.5,1.4,.346,1.1,1.3,.838,0.3,0.9,1.2,2.2,0.4,0.0,0.9,0.8,4.7,1917215.0
22,Gustavo Ayon,C,27,TOT,55,3,13.3,1.7,3.0,.551,0.0,0.0,,1.7,3.0,.551,0.4,0.9,.400,1.1,2.5,3.6,1.3,0.4,0.3,0.9,1.9,3.7,1500000.0
22,Gustavo Ayon,C,27,ORL,43,3,13.3,1.6,2.9,.536,0.0,0.0,,1.6,2.9,.536,0.4,0.9,.500,0.9,2.3,3.3,1.4,0.3,0.3,0.9,1.9,3.6,1500000.0
22,Gustavo Ayon,C,27,MIL,12,0,13.6,2.1,3.5,.595,0.0,0.0,,2.1,3.5,.595,0.1,1.0,.083,1.7,3.3,4.9,1.0,0.8,0.3,0.8,2.0,4.3,1500000.0
23,Jeff Ayres,PF,25,IND,37,0,10.0,1.6,3.4,.484,0.1,0.1,.500,1.6,3.3,.484,0.6,0.6,.913,0.8,2.0,2.8,0.4,0.2,0.3,0.6,1.2,3.9,0
24,Luke Babbitt,PF,23,POR,62,0,11.8,1.4,3.8,.368,1.0,2.9,.348,0.4,0.9,.429,0.2,0.2,.769,0.2,2.0,2.2,0.5,0.2,0.1,0.4,1.3,3.9,0
25,Leandro Barbosa,PG,30,BOS,41,2,12.5,2.0,4.7,.430,0.4,1.1,.383,1.6,3.6,.445,0.8,1.0,.756,0.2,0.9,1.1,1.4,0.4,0.1,0.5,1.2,5.2,100000.0
26,Jose Barea,PG,28,MIN,74,2,23.1,4.3,10.2,.417,1.3,3.8,.346,3.0,6.5,.458,1.4,1.8,.784,0.5,2.3,2.8,4.0,0.4,0.0,2.0,1.8,11.3,4687000.0
27,Andrea Bargnani,PF,27,TOR,35,25,28.7,4.9,12.2,.399,1.1,3.5,.309,3.8,8.7,.436,1.9,2.2,.844,0.7,2.9,3.7,1.1,0.6,0.7,1.5,1.8,12.7,10750000.0
28,Harrison Barnes,SF,20,GSW,81,81,25.4,3.4,7.8,.439,0.6,1.8,.359,2.8,6.0,.464,1.8,2.3,.758,0.7,3.5,4.1,1.2,0.6,0.2,1.2,1.7,9.2,2923920.0
29,Matt Barnes,SF,32,LAC,80,4,25.7,3.9,8.4,.462,1.4,4.1,.342,2.5,4.4,.574,1.1,1.5,.744,1.4,3.2,4.6,1.5,1.0,0.8,1.1,2.9,10.3,3250000.0
30,Earl Barron,C,31,TOT,12,2,13.3,1.5,4.3,.353,0.0,0.0,,1.5,4.3,.353,0.3,0.6,.429,1.8,3.3,5.1,0.4,0.4,0.5,0.9,2.0,3.3,0
30,Earl Barron,C,31,WAS,11,1,11.1,1.2,3.4,.351,0.0,0.0,,1.2,3.4,.351,0.2,0.5,.400,1.5,2.5,3.9,0.3,0.5,0.5,0.9,2.1,2.5,0
30,Earl Barron,C,31,NYK,1,1,37.0,5.0,14.0,.357,0.0,0.0,,5.0,14.0,.357,1.0,2.0,.500,6.0,12.0,18.0,2.0,0.0,1.0,1.0,1.0,11.0,0
31,Will Barton,SG,22,POR,73,5,12.2,1.6,4.2,.382,0.1,0.9,.138,1.5,3.3,.447,0.7,0.9,.769,0.5,1.5,2.0,0.8,0.5,0.1,0.8,0.8,4.0,788872.0
32,Brandon Bass,PF,27,BOS,81,69,27.6,3.5,7.3,.486,0.0,0.0,.000,3.5,7.2,.487,1.6,1.9,.860,1.6,3.7,5.2,1.0,0.5,0.8,1.0,2.3,8.7,6450000.0
33,Shane Battier,SF,34,MIA,72,20,24.8,2.1,5.0,.420,1.9,4.4,.430,0.2,0.6,.348,0.4,0.5,.842,0.5,1.8,2.3,1.0,0.6,0.8,0.5,2.1,6.6,3270000.0
34,Nicolas Batum,SF,24,POR,73,73,38.5,4.8,11.4,.423,2.3,6.1,.372,2.6,5.3,.481,2.4,2.9,.848,1.3,4.3,5.6,4.9,1.2,1.1,2.6,1.9,14.3,11295250.0
35,Jerryd Bayless,PG,24,MEM,80,4,22.1,3.3,7.8,.419,0.9,2.5,.353,2.4,5.3,.450,1.3,1.5,.836,0.3,1.9,2.2,3.3,0.7,0.2,1.5,2.1,8.7,3135000.0
36,Aron Baynes,C,26,SAS,16,0,8.8,1.1,2.3,.500,0.0,0.1,.000,1.1,2.2,.514,0.4,0.8,.583,0.8,1.3,2.0,0.3,0.1,0.4,0.7,1.4,2.7,788872.0
37,Kent Bazemore,SG,23,GSW,61,0,4.4,0.7,1.9,.371,0.2,0.6,.294,0.5,1.3,.402,0.4,0.7,.614,0.1,0.3,0.4,0.4,0.3,0.1,0.3,0.4,2.0,0
38,Bradley Beal,SG,19,WAS,56,46,31.2,5.0,12.3,.410,1.6,4.2,.386,3.4,8.1,.424,2.2,2.8,.786,0.8,3.0,3.8,2.4,0.9,0.5,1.6,2.0,13.9,4319280.0
39,Michael Beasley,SF,24,PHO,75,20,20.7,4.1,10.2,.405,0.6,1.9,.313,3.5,8.3,.426,1.3,1.7,.746,0.7,3.1,3.8,1.5,0.4,0.5,1.9,1.4,10.1,5694091.0
40,Rodrigue Beaubois,PG,24,DAL,45,0,12.2,1.4,3.9,.369,0.5,1.6,.292,1.0,2.3,.423,0.7,0.8,.789,0.2,1.1,1.3,1.9,0.4,0.1,0.7,1.2,4.0,0
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0
41,Marco Belinelli,SG,26,CHI,73,27,25.8,3.3,8.4,.395,1.1,3.0,.357,2.2,5.3,.416,1.9,2.3,.839,0.2,1.7,1.9,2.0,0.6,0.1,1.1,1.9,9.6,2750000.0
42,Patrick Beverley,PG,24,HOU,41,0,17.4,1.9,4.6,.418,0.9,2.3,.375,1.0,2.3,.462,0.8,1.0,.829,1.1,1.6,2.7,2.9,0.9,0.5,1.1,2.0,5.6,788872.0
43,Andris Biedrins,C,26,GSW,53,9,9.3,0.2,0.4,.476,0.0,0.0,,0.2,0.4,.476,0.1,0.2,.308,0.6,2.2,2.9,0.3,0.3,0.8,0.3,1.9,0.5,9000000.0
44,Chauncey Billups,SG,36,LAC,22,22,19.0,2.4,6.0,.402,1.5,4.1,.367,0.9,1.9,.476,2.0,2.2,.938,0.1,1.4,1.5,2.2,0.5,0.0,1.2,1.1,8.4,2500000.0
