Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
1,Jeff Adrien,PF,24,GSW,23,196,11.3,.457,.426,.352,.000,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,102,110,0.1,0.1,0.2,.051
2,Arron Afflalo,SG,25,DEN,69,2324,13.6,.620,.581,.260,.396,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,123,111,4.8,1.4,6.2,.128
3,Maurice Ager,SG,26,MIN,4,29,10.1,.682,.682,.000,.364,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,94,114,0.0,0.0,0.0,-0.015
4,Alexis Ajinca,C,22,TOT,34,340,12.2,.507,.489,.135,.256,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,98,107,0.0,0.4,0.4,.052
4,Alexis Ajinca,C,22,DAL,10,75,12.8,.435,.422,.094,.219,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,97,100,0.0,0.1,0.1,.084
4,Alexis Ajinca,C,22,TOR,24,265,12.0,.530,.510,.149,.267,5.2,22.5,13.6,4.9,1.6,4.0,13.6,21.1,99,108,0.0,0.2,0.2,.042
5,Solomon Alabi,C,22,TOR,12,59,2.0,.189,.200,.133,.000,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,61,112,-0.2,0.0,-0.2,-0.142
6,Cole Aldrich,C,22,OKC,18,142,7.0,.537,.533,.267,.000,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,98,104,0.0,0.2,0.2,.066
7,LaMarcus Aldridge,PF,25,POR,81,3211,21.5,.549,.501,.314,.016,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,114,107,7.6,3.5,11.1,.166
8,Malik Allen,PF,32,ORL,18,178,3.3,.361,.355,.065,.000,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,92,105,-0.1,0.2,0.2,.046
9,Ray Allen,SG,35,BOS,80,2890,16.4,.615,.577,.224,.387,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,116,104,5.8,4.2,10.0,.166
10,Tony Allen,SG,29,MEM,72,1494,18.3,.562,.514,.370,.047,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,110,101,2.0,2.7,4.7,.152
11,Al-Farouq Aminu,SF,20,LAC,81,1452,9.6,.499,.450,.293,.352,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,94,108,-0.8,1.4,0.7,.022
12,Louis Amundson,PF,28,GSW,46,691,11.5,.452,.454,.475,.000,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,101,110,0.2,0.5,0.6,.044
13,Chris Andersen,C,32,DEN,45,732,19.0,.636,.599,.985,.007,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,129,102,1.9,1.2,3.2,.207
14,David Andersen,PF,30,TOT,40,373,10.9,.513,.496,.182,.190,6.4,21.0,13.6,5.6,0.7,2.0,14.4,19.1,97,108,-0.1,0.3,0.3,.032
14,David Andersen,PF,30,TOR,11,150,13.8,.559,.521,.149,.213,6.2,21.1,13.4,7.3,1.0,1.5,13.8,17.3,107,112,0.1,0.1,0.2,.063
14,David Andersen,PF,30,NOH,29,223,8.9,.484,.480,.203,.176,6.5,20.9,13.6,4.5,0.5,2.2,14.8,20.2,90,106,-0.2,0.3,0.1,.012
15,James Anderson,SF,21,SAS,26,286,8.5,.529,.494,.222,.568,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,102,110,0.1,0.2,0.3,.051
