Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
31,Matt Barnes,SF,31,LAL,63,1440,15.5,.554,.512,.331,.357,7.9,18.3,13.3,13.8,1.3,2.4,14.1,16.4,112,103,2.4,1.8,4.3,.142
32,Earl Barron,C,30,GSW,2,9,4.7,.500,.500,.000,.000,12.6,0.0,6.3,0.0,0.0,0.0,0.0,20.5,110,117,0.0,0.0,0.0,.054
33,Brandon Bass,PF,26,BOS,59,1868,14.1,.524,.479,.258,.000,6.3,16.3,11.5,5.1,1.0,2.2,8.5,19.8,103,99,1.5,3.2,4.7,.122
34,Tony Battie,C,35,PHI,27,295,7.3,.398,.373,.078,.020,3.0,22.3,12.6,7.6,0.7,1.5,7.0,9.0,94,99,0.0,0.5,0.5,.076
35,Shane Battier,SF,33,MIA,65,1499,9.7,.504,.493,.127,.627,4.6,7.7,6.2,8.0,2.2,1.8,10.7,10.7,108,102,1.2,2.1,3.3,.104
36,Nicolas Batum,SF,23,POR,59,1791,17.3,.575,.534,.248,.427,5.2,12.6,8.8,7.9,1.7,2.6,11.2,20.5,112,107,3.3,1.4,4.8,.127
37,Jerryd Bayless,PG,23,TOR,31,705,17.7,.561,.504,.319,.377,1.3,9.5,5.5,30.7,1.8,0.5,14.4,24.6,110,106,1.5,0.6,2.0,.139
38,Michael Beasley,SF,23,MIN,47,1087,13.0,.502,.483,.191,.203,4.0,17.2,10.6,7.7,0.9,1.2,12.9,25.3,95,107,-0.3,0.8,0.5,.022
39,Rodrigue Beaubois,PG,23,DAL,53,1151,15.3,.496,.465,.155,.297,1.9,12.8,7.4,22.7,2.6,1.9,12.8,22.0,100,101,0.5,1.7,2.2,.092
40,Marco Belinelli,SG,25,NOH,66,1966,11.9,.525,.495,.188,.414,1.2,9.1,5.2,8.9,1.3,0.2,8.5,19.5,105,109,1.9,1.0,2.9,.071
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
41,Raja Bell,SG,35,UTA,34,796,8.3,.586,.563,.144,.500,0.9,6.3,3.5,7.0,0.9,0.2,10.2,11.6,115,112,1.0,0.1,1.1,.069
42,Keith Benson,C,23,GSW,3,9,6.0,.000,.000,.000,.000,25.3,12.6,18.9,0.0,0.0,0.0,0.0,5.1,98,115,0.0,0.0,0.0,-0.005
43,Mike Bibby,PG,33,NYK,39,557,7.8,.404,.391,.065,.685,1.0,11.3,6.1,21.2,1.9,0.4,13.6,11.9,97,103,0.0,0.7,0.7,.061
