Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
1,Quincy Acy,PF,22,TOR,29,342,15.9,.632,.567,.507,.027,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,120,105,0.7,0.4,1.1,.157
2,Jeff Adrien,PF,26,CHA,52,713,13.4,.493,.429,.595,.012,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,105,109,0.5,0.4,1.0,.064
3,Arron Afflalo,SF,27,ORL,64,2307,13.0,.527,.478,.246,.265,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,102,112,1.5,0.5,2.0,.042
4,Josh Akognon,PG,26,DAL,3,9,15.3,.625,.625,.000,.500,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,130,111,0.0,0.0,0.0,.196
5,Cole Aldrich,C,24,TOT,45,388,11.1,.563,.550,.250,.000,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,102,105,0.1,0.4,0.6,.070
5,Cole Aldrich,C,24,HOU,30,213,7.3,.532,.535,.209,.000,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,92,105,-0.1,0.3,0.2,.038
5,Cole Aldrich,C,24,SAC,15,175,15.7,.598,.568,.297,.000,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,112,106,0.2,0.2,0.4,.109
6,LaMarcus Aldridge,PF,27,POR,74,2790,20.4,.530,.485,.264,.011,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,108,107,4.8,2.3,7.2,.124
7,Lavoy Allen,C,23,PHI,79,1669,11.5,.474,.454,.132,.002,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,103,106,0.9,1.6,2.5,.072
8,Ray Allen,SG,37,MIA,79,2035,14.7,.599,.555,.243,.510,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,112,107,3.4,1.9,5.4,.126
