Game ID,Team,Player,Player ID,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Plus/Minus
200810280BOS,BOS,Leon Powe,powele01,23:07,5,7,.714,0,0,,3,4,.750,1,1,2,0,0,0,1,4,13,+12
200810280BOS,BOS,Eddie House,houseed01,18:03,1,5,.200,0,4,.000,0,0,,0,1,1,0,1,0,1,3,2,+1
200810280BOS,BOS,Tony Allen,allento01,17:17,4,9,.444,0,2,.000,3,4,.750,1,2,3,1,1,0,0,2,11,-2
200810280BOS,BOS,Glen Davis,davisgl01,15:45,1,3,.333,0,0,,0,0,,0,4,4,2,1,0,2,2,2,+1
200810280CHI,MIL,Michael Redd,reddmi01,38:28,10,19,.526,4,8,.500,6,8,.750,1,1,2,1,1,0,2,4,30,-5
200810280CHI,MIL,Richard Jefferson,jefferi01,38:19,5,17,.294,2,3,.667,3,4,.750,0,4,4,2,0,0,2,4,15,-4
200810280CHI,MIL,Luke Ridnour,ridnolu01,28:42,3,7,.429,0,2,.000,1,2,.500,0,6,6,4,0,0,5,2,7,-4
200810280CHI,MIL,Andrew Bogut,bogutan01,25:57,4,4,1.000,0,0,,1,2,.500,3,4,7,0,1,1,3,4,9,-3
200810280CHI,MIL,Charlie Villanueva,villach01,8:47,1,5,.200,0,0,,2,2,1.000,2,1,3,1,0,0,1,3,4,+3
200810280CHI,MIL,Luc Mbah a Moute,mbahalu01,26:24,3,7,.429,0,0,,0,0,,2,0,2,1,2,1,2,2,6,-2
200810280CHI,MIL,Charlie Bell,bellch01,24:21,1,3,.333,0,1,.000,0,0,,1,0,1,5,0,0,1,3,2,-13
200810280CHI,MIL,Malik Allen,allenma01,20:19,5,7,.714,0,0,,0,0,,1,1,2,1,0,1,1,4,10,-13
200810280CHI,MIL,Dan Gadzuric,gadzuda01,14:33,3,3,1.000,0,0,,0,0,,2,1,3,1,1,0,2,2,6,-11
200810280CHI,MIL,Tyronn Lue,luety01,14:10,2,6,.333,0,0,,2,2,1.000,1,1,2,5,0,0,0,2,6,-13
200810280CHI,CHI,Tyrus Thomas,thomaty01,41:26,5,10,.500,0,0,,5,8,.625,3,7,10,3,2,1,2,3,15,+3
200810280CHI,CHI,Luol Deng,denglu01,35:47,8,13,.615,0,0,,5,6,.833,0,4,4,1,1,1,4,2,21,+7
200810280CHI,CHI,Derrick Rose,rosede01,32:12,3,9,.333,0,0,,5,7,.714,1,3,4,9,3,0,4,2,11,+7
200810280CHI,CHI,Drew Gooden,goodedr01,28:49,4,7,.571,0,0,,5,5,1.000,6,2,8,1,3,1,1,0,13,+5
200810280CHI,CHI,Thabo Sefolosha,sefolth01,11:41,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,2,2,-2
200810280CHI,CHI,Kirk Hinrich,hinriki01,26:05,5,10,.500,2,4,.500,3,4,.750,1,1,2,7,0,0,3,3,15,+8
200810280CHI,CHI,Ben Gordon,gordobe01,26:02,6,12,.500,3,6,.500,3,4,.750,1,1,2,3,0,0,2,2,18,+13
200810280CHI,CHI,Joakim Noah,noahjo01,19:11,2,3,.667,0,0,,2,4,.500,2,4,6,1,0,3,1,3,6,+8
200810280CHI,CHI,Andres Nocioni,nocioan01,18:47,1,3,.333,0,2,.000,5,6,.833,0,3,3,1,0,0,1,1,7,+16
200810280LAL,POR,Brandon Roy,roybr01,37:45,5,15,.333,2,4,.500,2,2,1.000,1,2,3,5,3,0,2,0,14,-10
200810280LAL,POR,Travis Outlaw,outlatr01,35:28,8,15,.533,2,4,.500,0,0,,2,2,4,2,0,0,2,0,18,-18
200810280LAL,POR,LaMarcus Aldridge,aldrila01,32:06,4,12,.333,0,1,.000,0,0,,2,2,4,1,1,2,1,2,8,-14
200810280LAL,POR,Steve Blake,blakest01,23:35,3,8,.375,3,6,.500,0,0,,1,3,4,4,0,0,1,1,9,-15
200810280LAL,POR,Greg Oden,odengr01,12:51,0,4,.000,0,0,,0,2,.000,3,2,5,0,0,1,2,2,0,-13
200810280LAL,POR,Rudy Fernandez,fernaru01,29:03,5,10,.500,3,5,.600,3,3,1.000,0,2,2,4,2,0,0,0,16,-6
200810280LAL,POR,Joel Przybilla,przybjo01,25:28,2,4,.500,0,0,,0,3,.000,1,10,11,2,1,0,0,4,4,-4
200810280LAL,POR,Channing Frye,fryech01,16:59,0,7,.000,0,3,.000,0,0,,1,2,3,1,0,0,0,4,0,-9
200810280LAL,POR,Jerryd Bayless,bayleje01,14:36,1,5,.200,0,0,,1,2,.500,0,2,2,0,0,0,2,2,3,+1
200810280LAL,POR,Sergio Rodriguez,rodrise01,5:05,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-6
200810280LAL,POR,Ike Diogu,dioguik01,3:32,0,2,.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,0,2,-3
200810280LAL,POR,Nicolas Batum,batumni01,3:32,1,1,1.000,0,0,,0,0,,1,2,3,0,1,0,1,1,2,-3
200810280LAL,LAL,Pau Gasol,gasolpa01,33:02,7,10,.700,0,0,,1,1,1.000,1,6,7,1,0,1,2,2,15,+17
200810280LAL,LAL,Kobe Bryant,bryanko01,32:47,9,17,.529,1,1,1.000,4,5,.800,2,9,11,5,1,0,5,3,23,+17
200810280LAL,LAL,Andrew Bynum,bynuman01,27:39,4,10,.400,0,0,,0,0,,1,2,3,1,0,3,0,5,8,+10
200810280LAL,LAL,Derek Fisher,fishede01,24:48,2,8,.250,0,0,,2,2,1.000,2,3,5,2,0,0,1,0,6,+20
200810280LAL,LAL,Vladimir Radmanovic,radmavl01,23:42,3,4,.750,2,3,.667,0,0,,1,4,5,0,4,0,1,1,8,+18
200810280LAL,LAL,Lamar Odom,odomla01,29:04,3,6,.500,0,1,.000,3,5,.600,0,7,7,1,1,0,3,1,9,+7
200810280LAL,LAL,Trevor Ariza,arizatr01,24:18,4,7,.571,2,2,1.000,1,1,1.000,0,2,2,1,1,2,0,0,11,+2
200810280LAL,LAL,Jordan Farmar,farmajo01,23:12,2,8,.250,1,1,1.000,4,4,1.000,2,4,6,6,1,0,2,3,9,0
200810280LAL,LAL,Sasha Vujacic,vujacsa01,12:30,2,6,.333,1,2,.500,0,0,,0,1,1,1,0,0,0,1,5,0
200810280LAL,LAL,Chris Mihm,mihmch01,3:32,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,0,2,+3
200810280LAL,LAL,Josh Powell,poweljo01,2:43,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,+3
200810280LAL,LAL,Luke Walton,waltolu01,2:43,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+3
200810290DET,IND,Danny Granger,grangda01,38:35,10,16,.625,2,4,.500,11,12,.917,2,3,5,1,2,3,4,4,33,+8
200810290DET,IND,Troy Murphy,murphtr01,37:44,4,11,.364,2,4,.500,3,4,.750,1,14,15,2,1,3,2,1,13,-4
200810290DET,IND,Marquis Daniels,daniema01,32:15,4,9,.444,0,2,.000,4,4,1.000,1,2,3,3,0,0,4,3,12,-4
200810290DET,IND,T.J. Ford,fordtj01,29:30,4,8,.500,0,0,,2,2,1.000,0,2,2,5,0,0,4,4,10,+3
200810290DET,IND,Rasho Nesterovic,nestera01,24:19,4,7,.571,0,0,,0,0,,1,4,5,3,1,1,2,1,8,-1
200810290DET,IND,Jarrett Jack,jackja01,26:51,3,9,.333,0,1,.000,3,4,.750,0,2,2,2,1,0,1,4,9,-20
200810290DET,IND,Brandon Rush,rushbr01,24:19,3,5,.600,0,1,.000,1,1,1.000,0,2,2,1,1,0,3,2,7,-3
200810290DET,IND,Jeff Foster,fosteje01,20:15,0,0,,0,0,,0,2,.000,0,4,4,1,1,0,1,1,0,-3
200810290DET,IND,Roy Hibbert,hibbero01,6:13,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,0,2,-6
200810290DET,DET,Chauncey Billups,billuch01,34:58,5,13,.385,1,4,.250,2,3,.667,0,5,5,7,2,1,1,1,13,+12
200810290DET,DET,Rasheed Wallace,wallara01,33:22,4,11,.364,0,2,.000,1,2,.500,2,5,7,2,2,1,2,4,9,+3
200810290DET,DET,Richard Hamilton,hamilri01,33:17,5,13,.385,1,2,.500,4,4,1.000,1,3,4,4,1,0,5,2,15,0
200810290DET,DET,Tayshaun Prince,princta01,32:23,8,15,.533,1,1,1.000,2,2,1.000,2,3,5,3,0,1,1,1,19,+7
200810290DET,DET,Amir Johnson,johnsam01,20:50,3,6,.500,0,0,,0,0,,3,3,6,1,1,3,1,1,6,+1
200810290DET,DET,Antonio McDyess,mcdyean01,18:46,4,9,.444,0,0,,0,0,,1,4,5,2,0,1,0,2,8,+4
200810290DET,DET,Jason Maxiell,maxieja01,18:05,2,4,.500,0,0,,3,3,1.000,3,1,4,0,0,1,2,1,7,0
200810290DET,DET,Rodney Stuckey,stuckro01,16:03,3,9,.333,0,0,,2,2,1.000,1,2,3,4,1,0,1,4,8,+2
200810290DET,DET,Walter Herrmann,herrmwa01,15:37,4,6,.667,2,3,.667,0,0,,1,1,2,0,0,0,0,2,10,-1
200810290DET,DET,Arron Afflalo,afflaar01,13:34,2,3,.667,1,1,1.000,0,0,,0,0,0,0,3,0,1,3,5,-1
200810290DET,DET,Kwame Brown,brownkw01,3:04,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+3
200810290GSW,NOH,David West,westda01,41:56,9,17,.529,0,0,,6,7,.857,2,5,7,3,2,2,4,4,24,+11
200810290GSW,NOH,Chris Paul,paulch01,39:55,9,17,.529,0,0,,3,4,.750,0,5,5,11,3,1,3,4,21,+16
200810290GSW,NOH,Tyson Chandler,chandty01,37:10,5,9,.556,0,0,,3,6,.500,4,12,16,0,0,3,2,4,13,+1
200810290GSW,NOH,Peja Stojakovic,stojape01,35:10,6,11,.545,1,5,.200,3,4,.750,1,1,2,3,1,0,1,2,16,+13
200810290GSW,NOH,Morris Peterson,petermo01,19:47,3,6,.500,0,2,.000,0,0,,0,4,4,1,2,0,0,0,6,+12
200810290GSW,NOH,James Posey,poseyja01,28:08,3,8,.375,3,6,.500,2,4,.500,0,3,3,1,0,0,0,5,11,-3
200810290GSW,NOH,Rasual Butler,butlera01,13:04,2,4,.500,1,1,1.000,2,2,1.000,0,2,2,2,0,0,0,0,7,-6
200810290GSW,NOH,Hilton Armstrong,armsthi01,9:18,2,4,.500,0,0,,0,0,,1,1,2,1,0,0,3,2,4,0
200810290GSW,NOH,Mike James,jamesmi01,8:15,2,5,.400,2,2,1.000,0,0,,0,1,1,1,0,0,0,2,6,-13
200810290GSW,NOH,Devin Brown,brownde02,7:17,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-6
200810290GSW,GSW,Stephen Jackson,jacksst02,48:00,9,23,.391,5,12,.417,3,4,.750,1,2,3,5,2,0,5,4,26,-5
200810290GSW,GSW,Al Harrington,harrial01,42:06,5,17,.294,2,4,.500,1,2,.500,2,5,7,3,3,0,2,3,13,-1
200810290GSW,GSW,Corey Maggette,maggeco01,38:55,8,11,.727,2,4,.500,9,10,.900,0,8,8,2,1,0,2,4,27,+3
200810290GSW,GSW,Andris Biedrins,biedran01,29:09,5,8,.625,0,0,,4,10,.400,5,7,12,2,0,0,1,6,14,+2
200810290GSW,GSW,DeMarcus Nelson,nelsode01,13:06,3,6,.500,0,0,,0,0,,1,1,2,1,1,0,2,2,6,-9
200810290GSW,GSW,Kelenna Azubuike,azubuke01,43:09,6,14,.429,0,3,.000,5,6,.833,0,3,3,2,3,1,0,3,17,-2
200810290GSW,GSW,Ronny Turiaf,turiaro01,24:04,0,2,.000,0,0,,0,0,,2,2,4,3,0,4,1,4,0,-9
200810290GSW,GSW,C.J. Watson,watsocj01,1:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
200810290HOU,MEM,Rudy Gay,gayru01,40:20,9,22,.409,0,3,.000,2,2,1.000,2,2,4,1,2,1,4,3,20,-14
200810290HOU,MEM,O.J. Mayo,mayooj01,40:00,5,20,.250,0,7,.000,0,0,,2,3,5,2,2,0,3,2,10,-15
200810290HOU,MEM,Marc Gasol,gasolma01,36:24,5,12,.417,0,0,,2,3,.667,5,7,12,1,0,2,2,4,12,-8
200810290HOU,MEM,Mike Conley,conlemi01,32:20,3,8,.375,0,2,.000,2,2,1.000,0,4,4,3,1,0,0,2,8,-16
200810290HOU,MEM,Darko Milicic,milicda01,17:14,1,4,.250,0,0,,0,0,,0,2,2,0,0,0,1,3,2,-14
200810290HOU,MEM,Darrell Arthur,arthuda01,27:10,5,9,.556,0,1,.000,1,2,.500,4,11,15,1,1,2,0,3,11,+5
200810290HOU,MEM,Kyle Lowry,lowryky01,15:40,0,2,.000,0,0,,0,0,,0,3,3,3,1,1,2,1,0,+5
200810290HOU,MEM,Hakim Warrick,warriha01,14:43,3,4,.750,0,0,,2,4,.500,1,1,2,0,0,0,2,2,8,-3
200810290HOU,MEM,Quinton Ross,rossqu01,8:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
200810290HOU,MEM,Greg Buckner,buckngr01,7:40,0,0,,0,0,,0,0,,1,1,2,0,0,0,2,2,0,+3
200810290HOU,HOU,Metta World Peace,artesro01,39:40,6,14,.429,2,4,.500,2,2,1.000,0,3,3,2,3,1,4,2,16,+19
200810290HOU,HOU,Yao Ming,mingya01,38:12,6,14,.429,0,0,,9,9,1.000,3,7,10,0,0,1,0,2,21,+12
200810290HOU,HOU,Rafer Alston,alstora01,35:53,2,8,.250,1,6,.167,2,2,1.000,1,6,7,2,1,0,0,2,7,+15
200810290HOU,HOU,Tracy McGrady,mcgratr01,34:56,7,18,.389,1,3,.333,1,3,.333,0,2,2,5,3,0,2,1,16,+12
200810290HOU,HOU,Luis Scola,scolalu01,25:28,5,11,.455,0,0,,2,2,1.000,2,11,13,0,1,0,1,2,12,+6
200810290HOU,HOU,Carl Landry,landrca01,22:03,0,3,.000,0,0,,4,6,.667,5,1,6,1,1,0,3,4,4,+3
200810290HOU,HOU,Brent Barry,barrybr01,21:33,0,2,.000,0,2,.000,1,1,1.000,0,1,1,0,0,0,0,0,1,-7
200810290HOU,HOU,Luther Head,headlu01,12:27,2,4,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,5,-4
200810290HOU,HOU,Chuck Hayes,hayesch01,9:48,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-1
200810290LAC,LAL,Pau Gasol,gasolpa01,32:58,3,10,.300,0,0,,7,7,1.000,2,7,9,6,0,0,1,2,13,+29
200810290LAC,LAL,Kobe Bryant,bryanko01,30:44,5,12,.417,0,2,.000,6,7,.857,2,6,8,3,2,0,5,2,16,+23
200810290LAC,LAL,Andrew Bynum,bynuman01,24:48,4,7,.571,0,0,,4,6,.667,3,6,9,0,1,3,2,4,12,+18
200810290LAC,LAL,Derek Fisher,fishede01,21:44,5,11,.455,3,6,.500,2,2,1.000,0,1,1,4,1,0,1,1,15,+24
200810290LAC,LAL,Vladimir Radmanovic,radmavl01,18:24,2,4,.500,2,3,.667,0,0,,0,3,3,1,0,0,1,2,6,+21
200810290LAC,LAL,Jordan Farmar,farmajo01,26:16,6,8,.750,2,2,1.000,1,2,.500,0,5,5,5,0,0,3,0,15,+14
200810290LAC,LAL,Lamar Odom,odomla01,23:20,3,5,.600,0,0,,0,0,,2,2,4,3,0,0,0,2,6,+20
200810290LAC,LAL,Trevor Ariza,arizatr01,20:18,4,7,.571,2,3,.667,1,4,.250,2,4,6,1,1,0,1,1,11,+11
200810290LAC,LAL,Sasha Vujacic,vujacsa01,17:16,2,5,.400,1,2,.500,0,1,.000,0,2,2,2,2,0,0,1,5,+15
200810290LAC,LAL,Luke Walton,waltolu01,9:18,2,3,.667,0,1,.000,0,0,,1,0,1,3,0,0,1,3,4,+6
200810290LAC,LAL,Chris Mihm,mihmch01,8:56,4,7,.571,0,0,,2,2,1.000,2,0,2,0,0,0,1,1,10,+6
200810290LAC,LAL,Josh Powell,poweljo01,5:58,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,4,+3
200810290LAC,LAC,Al Thornton,thornal01,32:00,7,15,.467,0,1,.000,2,3,.667,1,2,3,1,0,0,3,5,16,-27
200810290LAC,LAC,Chris Kaman,kamanch01,30:16,3,9,.333,0,0,,2,3,.667,2,3,5,2,0,1,4,5,8,-24
200810290LAC,LAC,Baron Davis,davisba01,28:22,4,13,.308,1,5,.200,2,2,1.000,2,0,2,7,3,0,4,3,11,-23
200810290LAC,LAC,Cuttino Mobley,moblecu01,27:37,5,9,.556,0,3,.000,1,1,1.000,0,2,2,0,2,1,0,2,11,-24
200810290LAC,LAC,Tim Thomas,thomati01,19:32,4,10,.400,1,3,.333,2,8,.250,3,5,8,0,0,0,2,3,11,-28
200810290LAC,LAC,Brian Skinner,skinnbr01,26:42,1,2,.500,0,0,,0,0,,1,4,5,0,0,2,3,4,2,-12
200810290LAC,LAC,Ricky Davis,davisri01,23:42,2,5,.400,1,4,.250,0,0,,0,1,1,6,0,0,1,1,5,-20
200810290LAC,LAC,Eric Gordon,gordoer01,13:50,0,4,.000,0,1,.000,2,2,1.000,0,1,1,2,0,0,1,1,2,-19
200810290LAC,LAC,Steve Novak,novakst01,13:46,2,6,.333,2,5,.400,0,0,,0,2,2,1,1,1,0,1,6,+3
200810290LAC,LAC,Jason Hart,hartja01,11:45,2,4,.500,0,0,,0,0,,1,1,2,1,3,0,0,3,4,-10
200810290LAC,LAC,Mike Taylor,taylomi01,7:53,0,0,,0,0,,3,4,.750,0,1,1,3,0,0,0,1,3,-5
200810290LAC,LAC,Paul Davis,davispa01,4:35,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
200810290MIN,SAC,John Salmons,salmojo01,41:11,9,17,.529,1,3,.333,5,8,.625,2,3,5,8,0,0,2,5,24,+2
200810290MIN,SAC,Kevin Martin,martike02,39:27,5,19,.263,3,11,.273,4,6,.667,0,6,6,5,2,0,3,2,17,-11
200810290MIN,SAC,Beno Udrih,udrihbe01,35:24,4,9,.444,0,0,,2,2,1.000,1,4,5,5,0,0,5,2,10,+1
200810290MIN,SAC,Spencer Hawes,hawessp01,33:14,5,8,.625,1,1,1.000,1,2,.500,2,12,14,2,0,6,1,4,12,+5
200810290MIN,SAC,Mikki Moore,mooremi01,20:42,4,5,.800,0,0,,0,0,,0,0,0,0,0,0,0,3,8,+1
200810290MIN,SAC,Jason Thompson,thompja02,22:05,7,11,.636,0,0,,4,4,1.000,2,8,10,0,0,1,2,0,18,-7
200810290MIN,SAC,Bobby Jackson,jacksbo01,20:44,1,5,.200,0,1,.000,1,1,1.000,0,2,2,2,0,0,2,1,3,+6
200810290MIN,SAC,Quincy Douby,doubyqu01,12:27,1,5,.200,0,1,.000,0,0,,0,0,0,0,0,1,0,2,2,0
200810290MIN,SAC,Shelden Williams,willish02,7:59,0,0,,0,0,,2,2,1.000,1,1,2,0,0,0,0,1,2,-2
200810290MIN,SAC,Kenny Thomas,thomake01,6:47,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-5
200810290MIN,MIN,Al Jefferson,jeffeal01,32:27,9,17,.529,0,0,,3,5,.600,2,8,10,2,0,2,2,3,21,-1
200810290MIN,MIN,Randy Foye,foyera01,31:57,5,12,.417,2,5,.400,0,2,.000,1,1,2,3,3,0,4,3,12,-10
200810290MIN,MIN,Mike Miller,millemi01,31:02,4,7,.571,0,1,.000,3,6,.500,0,2,2,6,0,2,1,4,11,0
200810290MIN,MIN,Ryan Gomes,gomesry01,29:56,6,8,.750,0,0,,0,0,,0,1,1,2,0,0,0,2,12,-19
200810290MIN,MIN,Corey Brewer,breweco01,26:31,4,9,.444,0,1,.000,0,0,,2,5,7,4,3,0,0,1,8,+2
200810290MIN,MIN,Rashad McCants,mccanra01,25:32,7,18,.389,1,3,.333,0,0,,2,1,3,2,1,0,1,1,15,+7
200810290MIN,MIN,Kevin Love,loveke01,18:31,5,8,.625,0,0,,2,2,1.000,4,5,9,2,1,2,2,4,12,+20
200810290MIN,MIN,Kevin Ollie,ollieke01,16:36,0,1,.000,0,0,,1,2,.500,0,0,0,3,1,0,0,2,1,+13
200810290MIN,MIN,Craig Smith,smithcr01,14:33,2,6,.333,0,0,,2,5,.400,0,4,4,1,0,0,0,3,6,+3
200810290MIN,MIN,Rodney Carney,carnero01,12:55,0,1,.000,0,1,.000,0,0,,0,2,2,0,1,1,1,0,0,-5
200810290NYK,MIA,Dwyane Wade,wadedw01,41:20,9,24,.375,0,3,.000,8,9,.889,1,6,7,9,0,0,5,6,26,-4
200810290NYK,MIA,Udonis Haslem,hasleud01,39:05,10,14,.714,0,0,,3,4,.750,6,4,10,1,0,0,1,5,23,-5
200810290NYK,MIA,Shawn Marion,mariosh01,36:25,5,12,.417,0,2,.000,4,6,.667,4,7,11,2,1,2,2,4,14,-4
200810290NYK,MIA,Mario Chalmers,chalmma01,35:46,7,13,.538,2,4,.500,1,2,.500,1,6,7,8,0,0,1,4,17,+2
200810290NYK,MIA,Michael Beasley,beaslmi01,26:59,4,14,.286,1,5,.200,0,0,,0,4,4,0,0,0,3,0,9,-14
200810290NYK,MIA,Marcus Banks,banksma01,26:57,2,6,.333,0,2,.000,4,6,.667,0,2,2,2,4,0,1,3,8,-10
200810290NYK,MIA,Daequan Cook,cookda02,20:13,4,7,.571,3,6,.500,2,2,1.000,1,4,5,0,2,0,0,3,13,+10
200810290NYK,MIA,Mark Blount,blounma01,8:55,1,2,.500,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,3,0
200810290NYK,MIA,Shaun Livingston,livinsh01,4:20,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,1,1,2,0
200810290NYK,NYK,Jamal Crawford,crawfja01,39:33,9,19,.474,4,10,.400,7,10,.700,0,4,4,4,1,0,4,2,29,+6
200810290NYK,NYK,Chris Duhon,duhonch01,37:49,3,6,.500,2,2,1.000,1,2,.500,1,2,3,3,1,0,2,3,9,-1
200810290NYK,NYK,David Lee,leeda02,35:27,6,9,.667,0,0,,4,5,.800,4,7,11,5,1,0,2,3,16,+10
200810290NYK,NYK,Zach Randolph,randoza01,30:28,7,15,.467,0,2,.000,6,7,.857,2,7,9,2,2,0,1,2,20,+4
200810290NYK,NYK,Quentin Richardson,richaqu01,28:15,5,9,.556,2,5,.400,4,4,1.000,1,3,4,4,0,0,2,3,16,+17
200810290NYK,NYK,Nate Robinson,robinna01,24:43,4,10,.400,1,3,.333,4,4,1.000,1,2,3,7,2,0,0,4,13,-8
200810290NYK,NYK,Wilson Chandler,chandwi01,23:14,8,15,.533,0,2,.000,1,3,.333,4,5,9,1,0,0,1,4,17,-5
200810290NYK,NYK,Mardy Collins,collima01,10:21,0,1,.000,0,0,,0,2,.000,1,1,2,1,0,0,2,3,0,+1
200810290NYK,NYK,Malik Rose,rosema01,6:38,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,3,0,+1
200810290NYK,NYK,Danilo Gallinari,gallida01,3:32,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,0
200810290OKC,MIL,Richard Jefferson,jefferi01,39:42,5,10,.500,2,4,.500,8,9,.889,2,6,8,2,1,0,1,3,20,+12
200810290OKC,MIL,Charlie Villanueva,villach01,34:21,8,17,.471,1,2,.500,3,3,1.000,3,9,12,2,1,2,5,6,20,+24
200810290OKC,MIL,Michael Redd,reddmi01,33:27,7,18,.389,3,7,.429,3,4,.750,0,0,0,3,1,0,3,0,20,+20
200810290OKC,MIL,Andrew Bogut,bogutan01,30:57,6,8,.750,0,0,,2,4,.500,5,2,7,2,2,2,6,4,14,+10
200810290OKC,MIL,Luke Ridnour,ridnolu01,24:29,0,6,.000,0,2,.000,2,2,1.000,0,6,6,5,1,0,0,2,2,+19
200810290OKC,MIL,Charlie Bell,bellch01,21:15,4,7,.571,1,3,.333,2,2,1.000,0,0,0,2,1,0,1,0,11,-10
200810290OKC,MIL,Tyronn Lue,luety01,16:57,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,0,2,4,-9
200810290OKC,MIL,Dan Gadzuric,gadzuda01,16:55,2,2,1.000,0,0,,1,2,.500,0,1,1,0,0,0,2,1,5,+3
200810290OKC,MIL,Malik Allen,allenma01,11:23,1,4,.250,0,0,,0,0,,1,1,2,0,0,0,0,3,2,-7
200810290OKC,MIL,Luc Mbah a Moute,mbahalu01,10:34,0,2,.000,0,0,,0,0,,3,2,5,0,0,0,1,1,0,-7
200810290OKC,OKC,Kevin Durant,duranke01,33:37,5,14,.357,0,3,.000,2,2,1.000,0,3,3,2,0,0,4,4,12,-14
200810290OKC,OKC,Nick Collison,collini01,29:07,3,5,.600,0,0,,1,2,.500,3,3,6,1,0,0,1,3,7,-18
200810290OKC,OKC,Jeff Green,greenje02,27:27,3,8,.375,0,0,,3,4,.750,1,3,4,2,2,0,5,3,9,-20
200810290OKC,OKC,Earl Watson,watsoea01,26:04,3,9,.333,0,1,.000,2,2,1.000,0,2,2,4,2,0,1,2,8,-16
