Game ID,Team,Player,Player ID,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Plus/Minus
200810280BOS,CLE,LeBron James,jamesle01,36:00,9,21,.429,0,4,.000,4,8,.500,1,6,7,6,2,1,3,4,22,-3
200810280BOS,CLE,Delonte West,westde01,35:29,2,4,.500,0,1,.000,2,2,1.000,0,2,2,2,0,0,1,0,6,-10
200810280BOS,CLE,Mo Williams,willima01,31:18,4,10,.400,3,5,.600,1,1,1.000,0,3,3,2,1,0,4,5,12,+3
200810280BOS,CLE,Zydrunas Ilgauskas,ilgauzy01,30:24,3,5,.600,0,0,,9,10,.900,3,5,8,1,0,0,4,3,15,+7
200810280BOS,CLE,Ben Wallace,wallabe01,19:03,1,1,1.000,0,0,,0,0,,0,4,4,0,0,1,1,2,2,-1
200810280BOS,CLE,Anderson Varejao,varejan01,26:09,3,6,.500,0,0,,3,5,.600,4,5,9,1,3,0,2,2,9,-7
200810280BOS,CLE,Daniel Gibson,gibsoda01,22:38,2,8,.250,0,2,.000,2,3,.667,0,3,3,3,0,0,0,1,6,-8
200810280BOS,CLE,Wally Szczerbiak,szczewa02,15:56,1,4,.250,0,1,.000,2,2,1.000,0,0,0,0,1,0,2,4,4,-3
200810280BOS,CLE,Sasha Pavlovic,pavloal01,12:34,3,6,.500,0,2,.000,1,2,.500,0,3,3,0,0,0,3,1,7,-3
200810280BOS,CLE,Lorenzen Wright,wrighlo02,10:29,1,3,.333,0,0,,0,0,,0,2,2,1,1,0,1,4,2,0
200810280BOS,BOS,Ray Allen,allenra02,40:39,2,9,.222,1,4,.250,3,4,.750,1,3,4,1,1,0,4,1,8,-1
200810280BOS,BOS,Paul Pierce,piercpa01,38:13,10,19,.526,2,4,.500,5,8,.625,1,2,3,4,1,0,2,4,27,+12
200810280BOS,BOS,Kevin Garnett,garneke01,36:09,5,15,.333,0,0,,1,4,.250,1,5,6,2,2,0,2,1,11,+5
200810280BOS,BOS,Rajon Rondo,rondora01,29:57,4,5,.800,0,0,,6,10,.600,1,4,5,6,3,0,2,5,14,+4
200810280BOS,BOS,Kendrick Perkins,perkike01,20:50,1,2,.500,0,0,,0,0,,4,4,8,0,0,0,2,6,2,-7
