Game ID,Team,Player,Player ID,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Plus/Minus
201112250DAL,MIA,LeBron James,jamesle01,36:16,11,19,.579,0,0,,15,19,.789,3,7,10,6,2,2,3,3,37,+27
201112250DAL,MIA,Dwyane Wade,wadedw01,34:39,11,21,.524,0,0,,4,6,.667,1,7,8,6,1,1,5,4,26,+10
201112250DAL,MIA,Joel Anthony,anthojo01,25:38,2,3,.667,0,0,,2,3,.667,1,1,2,0,0,1,0,1,6,+23
201112250DAL,MIA,Mario Chalmers,chalmma01,24:21,1,1,1.000,0,0,,1,1,1.000,0,1,1,4,4,0,2,3,3,+25
201112250DAL,MIA,Chris Bosh,boshch01,23:59,2,9,.222,0,0,,0,0,,1,6,7,1,1,1,2,5,4,+16
201112250DAL,MIA,Udonis Haslem,hasleud01,32:16,3,6,.500,0,0,,3,5,.600,6,8,14,1,0,1,3,5,9,-4
201112250DAL,MIA,Norris Cole,coleno01,23:39,3,8,.375,1,1,1.000,0,1,.000,0,2,2,0,1,0,4,3,7,-14
201112250DAL,MIA,James Jones,jonesja02,18:26,3,6,.500,3,5,.600,0,1,.000,0,2,2,0,0,0,2,2,9,-15
201112250DAL,MIA,Juwan Howard,howarju01,7:55,2,3,.667,0,0,,0,0,,2,0,2,0,0,0,0,0,4,+2
201112250DAL,MIA,Shane Battier,battish01,4:03,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+6
201112250DAL,MIA,Mickell Gladness,gladnmi01,2:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-7
201112250DAL,MIA,Dexter Pittman,pittmde01,2:56,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-7
201112250DAL,MIA,Terrel Harris,harrite01,2:56,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-7
201112250DAL,DAL,Shawn Marion,mariosh01,29:18,6,10,.600,0,0,,0,0,,2,4,6,3,0,0,3,3,12,-31
201112250DAL,DAL,Dirk Nowitzki,nowitdi01,29:13,6,15,.400,0,0,,9,10,.900,1,4,5,3,0,0,2,4,21,-28
201112250DAL,DAL,Jason Kidd,kiddja01,27:35,2,5,.400,2,5,.400,3,3,1.000,0,0,0,3,2,0,2,2,9,-26
201112250DAL,DAL,Vince Carter,cartevi01,20:41,2,6,.333,1,3,.333,0,2,.000,0,2,2,3,0,0,2,3,5,0
201112250DAL,DAL,Brendan Haywood,haywobr01,13:38,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,2,4,0,-6
201112250DAL,DAL,Jason Terry,terryja01,28:49,9,18,.500,4,10,.400,1,2,.500,0,1,1,3,2,0,0,2,23,-1
201112250DAL,DAL,Delonte West,westde01,24:38,3,7,.429,1,3,.333,3,3,1.000,0,0,0,3,3,0,3,0,10,-4
201112250DAL,DAL,Ian Mahinmi,mahinia01,15:08,1,3,.333,0,0,,0,1,.000,1,3,4,0,0,0,0,4,2,+6
201112250DAL,DAL,Brian Cardinal,cardibr01,14:27,0,2,.000,0,2,.000,4,4,1.000,0,2,2,1,1,0,1,2,4,+16
201112250DAL,DAL,Lamar Odom,odomla01,13:03,1,6,.167,1,2,.500,1,3,.333,1,3,4,1,1,0,2,4,4,-11
201112250DAL,DAL,Brandan Wright,wrighbr03,10:51,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0,+9
